stage,blastomeres,endoderm,eye,hatching.gland,neural,paraxial.mesoderm,periderm,pronephros
  3-4,49.11,0,0,0,0,0,0,0
  5-6,112.47,0,0,0,11.72,0,6.92,0
  7-9,5.14,10.35,0,5.83,35.16,10.84,0,0
 10-12,11.13,0,15.11,0,61.58,10.48,0,5.54
