stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.45,38.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.11,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,10.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,1.86,0,1.22,0,0,1.19,0,0,0,14.36,0,0,0,1.05,0,0,1.16,74.71,0,0,0,0,19.44,1.02,0.81,24.48,0,1.01,0,0
 24-34,0,0,0,2.72,0.6,0,0,0,0,4.1,0,0,0,39.64,0,0,1.91,2.8,0.86,0,0,183.54,0,0,0,0,17.29,0,1.38,51.84,0,0.96,0,9.33
 36-46,0,0,0,0,0,0,0.65,0,0,0.91,0,0,0,33.45,0,0,1.47,1.49,0,0,0,70.9,0,0,0,0,22.81,0,0.83,55.25,0,12.27,0,3.58
 48-58,0,0,0,0.38,0,0,8.46,0,0,0.55,0,0,0.87,52.82,0,0,8.5,2.66,0,0,0,23.94,0,5.01,0,0,17.57,0,0,8.84,0,1.84,0,16.09
 60-70,0,0,0,0,0,0,58.5,0,0.94,1.4,0,0,0,98.11,0,0,7.09,34.16,0,0,1.2,82.61,0,0,0,0,7.23,0,0,6.37,0,0.7,0.89,44.81
 72-82,0,0,0,3.84,0,0,62.93,0,0.55,23.45,0,0,0,88.81,0.52,0,0.96,28.94,0,0.67,0,81.02,0,0,0,0,11.15,0,0,0,1.57,2.89,0,40.45
 84-94,0,0,1.4,2.19,4.28,0,45.63,0,0.93,7.54,0,0,0,125.02,0,0,16.93,19.2,0,2.78,0,69.86,0,0,0,1.68,17.58,0,0,0,1.28,8.01,3.75,29.62
 96-106,0,0,1.22,2.61,1.34,0,153.67,0,0.71,2.17,2.57,0,3.62,117.43,0,1.05,5.72,43.79,0,3.63,3.42,52.18,0.58,0.59,0,0,40.65,0,0,0,0,8.76,8.65,12.03
108-118,0,0,0.64,12.35,0,0.72,66.87,1.3,2.56,8.65,0,0,0,134.25,1.69,0.7,6.58,44.66,0,0.46,2,116.46,0,0,0,0,39.96,0,0,3.19,1.31,7.77,5.01,25.84
120,0,0,0,10.36,6.49,0,79.86,0,2.32,34.58,0,0,0,187.84,0,2.89,37.74,89.67,0,0,9.36,129.56,0,0,0,0,16.92,0,0,4.07,0,18.49,0,1.1
