stage,blastomeres,epidermis,eye,ionocyte,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord
  3-4,23.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,38.07,0,0,0
 14-21,0,0,0,0,0,1.81,1.21,3.93,0,0,1.58
 24-34,0,0,0,0,0,0.66,0.75,2.84,0.78,1.08,0.74
 36-46,0,0,0,0,0,0,0,4.84,0,0,0
 48-58,0,0,0,0,0,1.46,0,2.37,0,0.45,0
 72-82,0,0,0,0,0,3.46,0,1.12,0,0.58,0
 84-94,0,0,0.81,0,0,0,0,0,0,0,0
 96-106,0,2.81,0,0,0,0,0,0,0,0,0
108-118,0,0.71,0,0.85,0.84,0,0,0,0,0,3.21
120,0,0,4.26,0,0,0,0,2.32,0,0,0
