stage,blastomeres,epidermis,eye,fin.mesenchyme,immune,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,12.02,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.11,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.97,7.86,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.86,0,0
 24-34,0,0,0,0,0,0,1.29,5.53,0,0,0,0,6.79
 36-46,0,0,0,0,0,0,0,9.31,0,0,0,1.63,0
 48-58,0,0,0.47,0,0,0,0,0,0,0,0,0,6.75
 60-70,0,3.36,0,0,0,0,0,3.81,0,1.42,0,0,0
 72-82,0,0,0,0,0,0,0,3.88,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.83,0,0,0,0,0,0
 96-106,0,0,0,0,1.03,0,0,0,0,0,0,0,0
108-118,0,1.29,2.84,0,0,0.6,3.2,3.52,0,0,0,0,0
120,0,0,0,14.81,0,0,0,0,0,0,0,0,0
