stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44,0,4.38,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0
 14-21,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0.94,0,0,0,0.9,6.71,0,0,0,0
 24-34,0,0,2.1,0,0.64,0,45.13,134.27,1.38,0,0,0,0,0,8.26,38.16,19.7,2.49,0,0,0,41.76,14.45,0,0,0
 36-46,0,0,0,0,2,0,291.18,511.62,0,0,2.07,0,0,0,2.93,54.26,10.64,0,0,0,0,0,12.26,0,0,0
 48-58,0,0,0.38,0,6.26,0,369.25,797.97,0.87,0,0,0,0,0,18.12,25.89,17.43,0,0,0,0,0,6.4,0,0,0
 60-70,0,0,0.67,0,1.63,0,272.06,1165.72,0,0,0,0,0,0,11.8,2.32,5.79,0,0,0,0,0,12.01,0,0,0
 72-82,0,0,1.26,0,21.45,0,237.01,1178.81,0.6,1.34,0,0,0,0,9.07,38.24,10.93,0,0,0.83,0,0,4.48,0,0,0
 84-94,0,0,1.36,0,27.61,0,383.51,1086.26,0.8,0,0,1.1,1.54,0,19.93,15.63,22.5,0,0,0.81,0,0,0,0,0,5.88
 96-106,0,1.07,1.14,0,14.12,1.43,269.91,979.52,1.99,0,0,0,0,1.11,19.5,7.68,17.16,0,0,0.77,0,0,0,1.71,1.69,0
108-118,0,0,1.66,1.7,9.04,0,253.9,637.55,0,0,0,0.45,0,0,8.35,11.82,9.42,0,0,3.75,0,0,0,2.48,0,0
120,0,0,2.14,0,16.37,0,160.78,588.64,0,0,1.19,0,0,0,18.41,6.24,10.09,0,0,1.07,0,0,0,0,0,0
