stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,11.3,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,13.82,0.84,0,3.46,0,0,0,0,0,2,0,0,0,0,0,0.86,4.67,0,0,24.24,48.27,3.64,0,0,1.19,0,9.76,0.9,8.88,0.89,153.3,548.65,12.61,0,2.58,0,0
 24-34,0,0,1.26,4.47,0,5.74,0.68,0,0.89,4.1,0,0,0,0,0,0,0,0,4.52,0,0,20.28,83.98,0,1.28,0,1,0,6.76,0,0,0,42.65,221.12,15.7,0,2.51,0,1.3
 36-46,0,0,4.29,0,0,14.43,5.02,0,0,4.42,0,1.82,0,0,0,0,0,0,9.22,0,0.72,22.13,123.74,0,4,1.08,0,0,5.16,0,0,0,14.95,7.28,28.46,0,7.36,0,0
 48-58,0,0,0,0,0,37.24,8.46,0,0,14.68,0,0,0.52,0,0,0,0,0,10.56,0,0,6.15,129.88,0,7.31,0.85,0,0,3,0,0,0.46,5.94,0,38.22,0,0,0,4.08
 60-70,0,0,3.41,0,0,39.22,6.11,0,0,6.85,0,0,0,0,0,0,0,1.56,16.51,0,0,7.24,84.84,0,1.16,0,0,1.44,1.27,0,0,0.93,4.39,0,26.66,0,2.55,0,8.26
 72-82,0,0,2.58,0,0,28.38,8.95,0.81,0.89,6.35,1.21,0,0,0,0.55,0,0,0,8.96,2.46,0.72,4.24,82.21,4.37,1.19,0.9,0,0,1.97,0,0,0,3.21,0,4.81,0,0,0,2
 84-94,0,0,0.55,0,0,23.13,17.31,0,0,6.49,0,0,0.77,2.78,0.58,0,0.68,0.83,21.02,0,0.66,10.64,60.5,0,0,0,0,0,7.35,0,0,0,1.99,0,4.85,0,0.66,0.89,0.62
 96-106,0,1.05,2.83,0,0.62,15.37,2.16,0,0,17.83,0.78,0,1.19,0,0,0,0,1.15,3.62,4.71,2.3,2.08,30.7,0,2.06,4.17,10.66,0,2.02,0,0,0,1.6,0,2.35,0,2.4,0.67,0.62
108-118,0,0,0.47,0.66,2.33,12.14,9.64,0.69,0,4.49,0,0,1.94,0.76,5.02,2.51,0,1.34,6.49,0,4.1,5.28,44.13,1.39,0.49,0.72,0,0,13.37,0,0,0.53,1.38,0,15.83,1.03,2.01,0,8.49
120,0,0,4.72,0,0,21.63,1.06,0,0,0,0,0,0,0,1.18,0,0,0,1.4,0,0,17.67,48.22,0,0,0,0,0,2.75,0,0,0,1.22,0,0,0,5.18,0,0
