stage,axial,blastomeres,endoderm,erythrocytes,eye,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,149.81,4156.54,0,0,0,0,0,0,0,113.96,0,0,0
  5-6,152.73,1982.03,10.68,0,0,207.01,0,0,0,6.06,0,0,0
  7-9,0,26.06,8.69,0,0,170.92,9.05,0,67.89,0,6.2,0,0
 10-12,0,0,0,4.69,0,8.69,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,2.23,0,0,0,0,0,0.67,2.11
 36-46,0,0,0,0,0,0,0,0.63,0,0,0,0,0
 48-58,0,0,0,0,0.58,0.82,0,0,0,0,0,0,0
 72-82,0,0,0,0.77,0,2.28,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.53,0,0,0,0,0,0,0.8
108-118,0,0,0,0,5.58,2.26,0,0,0,0,0,0,0
120,0,0,0,0,6.72,0,0,0,0,0,0,0,0
