stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,0,0,11.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,1.18,0,0,0,2.28,0.98,0,4.45,0,0
 24-34,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.76,0,0,0,0,0,0,0.61,0,15.7,0,10.38,0,0
 36-46,0,0,0,0,1.58,0,0,0,0,0,1.28,0,0,0,0,3.76,0,0,131.81,0,0,0,0,0,0,0,0,37.53,0,8.56,0,0
 48-58,0,0,0,0,11.41,0,0,0.88,5.37,0,0.48,0,0,0,0,0.38,0,0,227.27,1.94,0.84,0,0,0,4.07,0,0,40.82,0,14.31,0,4.4
 60-70,0,0,0,0,27.49,0,0,0,2.81,0,0,0,0,0,0,5.2,0.65,0,552.32,0,0,0,0,0,6.31,3,0,47.77,0,8.63,0,8.13
 72-82,0,0,1.33,0,60.94,0.72,0,0,5.67,0,0,0,0,0,0,7.32,0,0,849.08,0,0,1.34,0,0,0,0,0,58.41,0,0.55,0,0
 84-94,0,0,3.33,0,68.2,0,5.41,0,5.25,0,0,0,10.92,0,0,12.21,0,0,551.96,0,0,5.05,0,0,1.78,0,0,49.1,0,8.75,0,6.59
 96-106,0,0,0,7.2,80.41,0.95,0,0,9.46,1.38,0.73,0,0.75,0.83,1.03,4.4,0,2.41,524.3,0,0,0,0,3,1.6,0,0,24.18,1.13,34.05,0,0
108-118,0,0.74,7.52,1.01,58.22,0,0.42,4.69,8.72,0,0,1.18,0,0,1.15,7.29,0,3.18,655.07,0,0,0,0,0,0,0,0,23.82,0.68,12.72,0.98,1.42
120,0,0,7.07,0,69.2,0,0,0,27.56,0,6.27,0,0,0,1.55,17.9,0,2.58,1597.98,0,0,0,0,0,0,0,0,94.89,0,40.81,0,0
