stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,389.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.12,505.56,0,0,0,0,0,0,0,0,0,0,0,0,9.43,9.25,0
  7-9,3.28,4.3,0,0,5.36,18.93,0,0,0,0,199.89,5.97,0,0,74.92,0,0
 10-12,0,0,13.42,0,14.31,0,0,0,0,0,103.58,3.27,0,0,58.48,0,0
 14-21,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.12,0,0,0.93,2.28,0,0,0,0,3.38,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,1.24
 48-58,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,2.22,0
 60-70,0,0,0,0,3.56,0,0,0,0,0,0,0,0.89,0,0,0,0
 84-94,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0
108-118,0,0,0,0,1.1,0,0,0.87,0.87,0,0,0,0,0,0,1.06,0
120,0,0,0,0,0,0,0,0,0,0,7.19,0,0,0,0,0,0
