stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,274.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.23,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.82,0,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.51,14.44,0,0,6.4,0,0,0,0,0,0,7.71,0,0,0,0,0,0
 14-21,0,0,0,0,2.23,4.78,0,18.99,0,0,0,0,0,0,4.85,0,0,0,0,0,0,30.71,0,9.43,42.63,752.51,0,0,0,0,1.57,1.53,7.15,1,0,22.08,4.05,0,0,0,0,0.84
 24-34,0,0,0,0,3.57,0,0,12.65,0.75,3.12,0.72,0,0,0,6.98,0,3.6,3.99,0.78,0,0,105.54,0,25.28,116.19,30.58,8.62,1.41,0,0,4.48,0,0.85,8.63,0.67,10.83,21.5,0,0,0,0,0
 36-46,0,0,0,0,4.51,0,0,12.92,8.32,0,4.6,0.84,1.71,0,6.44,0,7.72,37.87,0,0,0,113.23,2.09,45.07,251.03,16.86,8.36,9.78,0,0,0.59,0,0,4.87,5.01,0,41.68,0,0,5.49,0,0
 48-58,0,0,0.88,0,10.85,0,0,282.11,9.57,3.2,8.84,14.29,0,0.75,3.28,0,0.38,37.41,8.57,0,0,111.07,6.46,34.2,656.48,6.36,6.03,5.39,0,0.97,0.38,0,0,2.44,12.62,0,61.92,0,0,7.04,0,2.84
 60-70,0,0,0,0,27.97,1.64,0,1906.21,9.06,0,30.35,7.04,0,0,3.65,0,10.41,77.67,13.67,0,0,194.82,14.13,20.4,1320.75,3.9,6.06,5.06,0,1.53,14.13,0,0,6.56,9.58,0,88.37,0,4.5,1.24,0,3.65
 72-82,0,0,0,0,13,0.66,0,2918.12,4.65,0,21.76,52.11,4.74,0,4.42,0,7.31,61.94,10.1,14.08,0,282.01,25.38,23.63,1376.02,0,13.99,15.71,0,0,5.24,0,0,5.12,1.74,0,64.62,0.87,7.74,2.35,3.63,10.34
 84-94,0,0,0,0,9.14,0,0,2160.41,20.36,1.23,21.97,55.02,2.62,0,5.64,0.74,8.55,69.22,13.64,0,0,232.99,35.09,20.93,910.21,0,6.74,16.07,0,3.87,5.59,0,0,6.69,3.93,0,63.21,0,0.64,0,6.92,10.62
 96-106,0,0,0,0,14.01,2.25,0.66,1855.54,6.89,0.59,23.84,56.72,0.64,0,1.52,5.26,13.58,112.9,23.88,3.76,0,211.58,31.92,11.83,729.58,2.47,12.25,16.45,0,0,22.51,0,0,6.44,1.3,0,44.5,5.57,0,4.9,11.73,0
108-118,0,0,0,0,16.68,1.33,3.51,1467.98,15.2,0.7,16.48,47.59,2.59,0,3.8,0.75,10.79,173.8,28.78,1.13,1.42,293.53,39.14,21.94,885.06,6.03,8.01,12.7,0,4.71,0.93,0,0,9.46,2.59,0,16.49,4.75,2.17,3.75,7.12,6.71
120,0,0,14.6,0,6.37,0,15.46,869.98,21.46,0,41.78,89.79,11.42,0,4.89,8.29,10.58,131.59,33.35,0,0,248.51,54.02,28.33,1399.61,9.23,19.68,18.68,0,0,2.7,0,0,2.35,0,0,13.23,0,0,14.46,16.64,0
