stage,blastomeres,eye,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,otic,pgc,somites,spinal_cord,vasculature
  3-4,37.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.66,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.44,0,0,12.68,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.07,0,14.56,0,0,0
 14-21,0,0,0,0,0,0,0.92,6.33,0,0,1.89,1.18,0
 24-34,0,0,0,0,0,0.85,0,16,0,0,0,1.44,0
 36-46,0,1.28,0,0,0,0.72,0,45.89,0,0,0,11.82,0
 48-58,0,9.68,0,1.02,0,0,0,35.31,0.44,0,0,8.1,0
 60-70,0,11.67,0,0,0,0,0,38.35,0,0,0,7.32,0
 72-82,0,3.99,0,0,0,1.05,0,29.38,0,0,0,3.21,0
 84-94,0,0.86,0,0,0,0,0,23.46,0,0,0,0,1.07
 96-106,0,2.16,2.49,1.65,0,2.12,0,11.95,2.89,0,0,0,0
108-118,0,2.67,0,0,0,3.24,0,22.28,0.8,0,0,0,1.75
120,0,9.39,0,0,0,0,0,48.86,0,0,0,0,0
