stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,5.23,0,0,0,0,4.7,0,0
 10-12,3.64,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.16,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.93,0.82,0,0,4.39
 36-46,0,0,0,0,0,0,0,0,0,1.49,0,0,0
 48-58,0,0,0.63,0,0,0,0,5.44,0,6.4,0,0,2.83
 60-70,0,0,2.54,0,0,0,0,0,0,3.39,0,2.44,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.79,0
 84-94,0,0,0,0.63,1.48,0,0,0,0,1.4,0,3.94,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.68,0
108-118,0,0,0,0,0,0,1.39,0,0,2.02,0,0,0
