stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,62.56,1509.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.57,0,0,0,0,0,0,0,0,0
  5-6,33.02,529.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.19,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,0,20,0,23.02,0,0,64.26,0,0,0,0,0,20.64,0,0,0,0,0,0,0,0,0,0,0,539.36,14.85,0,0,187.14,0,29.35,0,0,0,0,0,0,0,0
 10-12,0,37.87,0,42.83,0,0,131.8,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,1262.07,21.15,0,0,366.57,0,43.64,0,3.69,14,0,0,0,0,0
 14-21,0,0,0,0.87,39.23,4.09,21.42,0,0,0,9.31,0.98,0,0,0,0,0,0,0,0,20.7,0,0,16.67,334.95,5.13,1.95,3.79,6.44,8.72,1.16,18.43,2.05,23.31,91.82,0,0.82,0,0
 24-34,0,0,0,1.93,5.94,0.99,81,0,0.62,0,6.95,0,0,1.35,0.69,0.68,0,0,1.37,0,52.76,0,1.21,17.99,597.12,1.95,2.98,5.87,0,16.83,0,0,0.98,3.76,125.06,0,21.59,0,2.08
 36-46,0,0,0,0.56,6.8,0,101.65,0,1.14,0,15.02,0.58,0,0,9.07,14.55,0.94,0.77,5.06,0,52.85,0,1.49,14.53,410.5,0,0.79,2.09,0,5.6,0,0,0.56,0,78.55,0,8.8,0,0
 48-58,0,0,0,0.6,6.05,0,111.79,0,0,3.68,35.92,0.49,0,0.44,0,0,0.79,1.22,0.39,4.16,53.62,0,1.31,9.08,198.6,0,1.29,0.52,0,4.99,0,0,0,0,38.53,0,1.47,0,4.31
 60-70,0,0,0,0,8.41,0,119.64,0,0,2.56,35.2,0,0,0,0,0,0.85,0.67,2.38,0,47.61,0,2.17,4.72,165.31,5.02,0.89,0.65,0,9.18,0.64,0,0.58,0,8.85,0,1.05,0.71,0
 72-82,0,0,1.65,0,6.07,0.91,49.46,0,0,7.69,26.82,0.99,0,0.5,0,0,1.39,2.21,0,0,47.25,3.05,1.01,5.18,114.2,0.74,2.58,1.4,0,5.78,0,0,0,0,6.47,0,12.31,2.52,0
 84-94,0,0,0,1,6.97,0,58.94,0,2.98,2.04,17.28,0,0,0,1.64,1.2,0.58,0.78,3.65,0,53.09,0.86,3.96,3.12,79.17,0,0.99,0.74,0,7.38,0,0,2.25,0,6.72,1.08,13.33,0,0
 96-106,0,0,0,0,6.16,2.85,11.79,0,2.65,5.24,30.26,0,0,0,1.4,0,5.94,0,0,0,31.59,2.5,1.53,4.49,70.85,0,3.51,6.81,0,20,1.28,0,0,0,6.73,0,10.21,0,0
108-118,0,0,0,1.47,11.86,1.92,39.95,0,1.77,0.93,27.35,3.67,0,2.81,2.32,0,1.37,0,0.92,0,47.15,0,3.48,8.45,104.44,0.46,4.27,2.35,0,8.02,1.26,0,0,0,3.65,0,9.37,0.91,0
120,0,0,0,0,19.1,0,50.69,1.04,4.34,6.48,63.1,0,0,0,9.42,0,0,0,3.84,0,47.52,0,2.22,6.09,230.13,0,0,0,0,7.95,0,0,0,0,10.78,7.39,51.48,2.64,7.26
