stage,epidermis,eye,fin.epithelia,glial,gut,iridophores,liver,mesenchyme,mural.cell,neural,otic,paraxial.mesoderm,pronephros,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,8.5,0,0
 24-34,0,0,0,0,0,0,0,0,0,5.58,0,0,0,1.15,0
 36-46,0,0,0,0,0,0,0,0,0,7.23,0.71,0,0,0.7,0
 48-58,0,0,0,0,0,0,0,0,0,14.99,0,0,0,0,0
 60-70,0,0,0,0,0,0.78,0,4.07,0,1.01,0,0,0,0,0
 72-82,0.96,5.31,0,0,0,0,0,2.44,1.07,23,0,0,0,0.55,0
 84-94,0,1.4,0,0,0,0,0,2.62,0,18.98,0,0,0,0,0
 96-106,9.09,0,0,0.66,0,0,0,10.76,0,31.31,0,0,0,2.38,0
108-118,0,2.59,1.22,0,0.45,0,0.83,6.48,1.58,62.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,62.17,0,0,0,3.5,1.96
