stage,epidermis,erythrocytes,eye,mesenchyme,neural,olfactory,spinal_cord
 14-21,0,0,0,0,0.84,0,0
 24-34,0,0,0,0,4.02,97.04,0
 36-46,0.79,0,0,0,1.87,95.6,0
 48-58,0,0,0,0,0.61,12.99,1.24
 60-70,0,0,0,0.81,7.44,126.97,0
 72-82,0,0,1.01,0,0,39.96,0
 84-94,0,0,0,0,1.85,13.01,0
 96-106,0,1.67,0,0,8.35,60.71,0
108-118,0,0,0,0,0,277.91,0
