stage,blastomeres,epidermis,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.49,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,22.61,0,0,0,0,0,0,0
 10-12,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.65,0,0,0,0,0,0,1.36
 36-46,0,0,0.6,0,0,0,0,0,2.66,0,0,0,0,0,0,0
 48-58,0,0,0.49,0,0,1.56,0,0,11.82,0,0,0,0,0,0,0
 60-70,0,0,2.93,0,0,23.47,2.39,0.93,9.99,0,0,0,1.57,0,1.63,0
 72-82,0,0,2.61,0,0,93.13,4.5,0.6,4.42,0,0,0,0,0,20.8,0
 84-94,0,0.68,10.73,0,0.95,79.43,4.93,0,6.45,0,0,5.7,0.92,0,25.12,0
 96-106,0,0.63,10.12,0.77,2.64,208.16,25.8,0,17.6,0.79,1.01,0,2.74,0.8,48.21,0
108-118,0,0,18.57,0,0.52,435.8,7.07,0.87,28.51,0,0,0,3.02,0,41.26,0
120,0,1.68,19.52,0,0,578.59,8.98,0,39.88,0,0,0,12.76,0,19.9,0
