stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,heart,immune,mesenchyme,neural,olfactory,somites,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,94.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.29,18.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,34.38,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.32,0.68,2.97,0,0,0.93,0,0
 36-46,0,0,0,0,0,0,0,0,0.69,2.38,0,0.56,0,0,0,1.55,0
 48-58,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.38,0,0,0,0,3.51,0,2.03,0,0,0,0,0
 72-82,0,0,0,0,0.49,0,1.3,0,0,5.55,2.31,0,0,0,0,0,0
 84-94,0,0,0,0.84,0,1.38,0,0,0,10.28,0,0,0,0,0,0.77,0
 96-106,0,0,1.59,1.13,0,0,0,1.35,0,10.99,4.45,0,0,0,0.66,1.11,0
108-118,0,0,0,0,0,0,0,0,0,6.06,0,6.99,0,0,0.45,1.55,0.87
120,0,0,0,0,0,0,0,0,0,17,0,0,1.26,0,2.51,0,0
