stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,14.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.65,0,0,0,14.16,0,47.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.19,8.78,0,0,31.61,0,27.44,12.26,14.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,29.67,0.86,0,9.2,0,0,0,1.28,0.87,0,2.2,0,0,0,5.98,0,9.2,0,0,1.11,17.41,1.29,0,1.04,0,0,164.65,0,0.9,0,0,5.05,8.55,0,0,0.99,0,4.33
 24-34,0.88,0,0,0,43.41,0,0,39.24,0,6.3,0,4.84,1.34,12.46,2.56,1.13,1.57,0,37.46,1.09,31,4.72,0.81,17.45,101.07,2.41,2.61,0,0,0,496.05,0,0,1.68,7.65,1.3,17.89,0,0,13.5,0,126.25
 36-46,0,0,0,0,82.02,33.7,0,39.69,0,17.57,0.87,11.68,0.67,13.34,1.66,0,0,1.36,7.57,0.7,49.07,8.86,0,13.49,91.77,0,3.35,0.57,0,0,951.6,3.57,0,0,1.12,0,23.85,0,0,10.36,0,500.34
 48-58,0,0,0,0,59.29,1.01,0,49.68,0,15.54,0.62,13.39,1.36,5.41,5.35,0.61,10.41,0.85,6.08,4.53,61.99,7.96,0.45,14.79,156.69,3.92,1.33,0.41,0,0.47,936.57,0,0,0,0,0,20.08,0,0,7.7,0,775.77
 60-70,0,0,0,0,62.45,0,0,45.85,0,17.62,1.48,5.97,4.03,1.43,5.99,2.04,0.85,0.85,2.24,1.24,29.76,1.87,0,0,31.87,0,3.58,0,0,0,553.95,0,0,0,0,0,9.23,0.76,0,2.03,0,429.63
 72-82,0,0,0,0,80,0,0,24.86,0,18.81,6.75,35.68,23.9,0.53,0,3.24,0.93,1.32,4.22,0,68.19,2.65,0,6.27,59.29,0,0.88,5.44,0,0,298.38,0,0,0,3.93,0,9.83,2,0,0.5,0.73,278.06
 84-94,0,0,0,0,177.41,0.57,0,43.57,0,22.5,3.7,20.19,48.24,2.1,8.1,10.92,0.55,14.37,4.65,2.78,72.65,4.38,0.99,2.62,43.19,0,1.5,4.32,0,0,863.12,0,0,4.01,0,0,18.8,9.98,0.88,4.26,0.92,163.4
 96-106,0,0,3.27,0,242.21,4.51,2.48,45.75,0,20.66,21.91,24.32,188.15,3.82,6.46,10.4,0,4.63,33.69,1.06,69.92,3.56,0.58,3.62,102.24,0,6.94,2.65,0,0,539.82,0,0,5.33,0,0,0.66,3.53,0,0,0,152.22
108-118,0,0,0.8,1.8,270.87,2.93,2.15,76.48,0.52,27.28,7.52,23.2,260.98,2.84,4.94,13.91,0.97,3.55,17.04,0,79.33,5.4,1.62,1.71,84.96,0,2.92,2.9,0,1.63,449.07,0,0,1.98,0,0,1.31,11.44,3.84,1.17,1.67,104.25
120,0,0,0,0,204.76,5.12,0,37.33,9.34,3.11,6.41,19.42,115.69,0,14.74,5.27,5.63,0,31.57,0,60.08,6.86,0,0,85.12,0,1.15,1.34,0,0,173.01,0,0,3.36,0,0,2.96,0,0,7.76,0,24.86
