stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0
  7-9,0,4.33,0,0,7.88,0,0,0,0,0,0,0,0,57.11,0,0,7.83,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,44.21,0,0,5.96,0,0,0,0,0,0
 14-21,0,0,7.83,0,0.82,0,0,0,0,0,0,0,0,5.2,0,0,0.84,0,1.37,0,0.85,0,0
 24-34,0,0,2,0.67,1.34,0,0,0,0,0,0,0,2.67,19.83,0,0.78,0,0.7,0,0,0,4.01,0
 36-46,0,0,0,0,3.64,0,0,0,0,0,1.62,0,0.57,28.76,1.08,0,0,0.62,0,0,0,5.23,0.58
 48-58,0,0,4.99,0,4.18,0.78,0.4,2.24,0.58,0,5.4,0,0,28.89,0,0,0,0.57,0,1.4,0,1.22,0
 60-70,0,0,0,0,10.63,0,0,0,0,0,5.56,0,0,11.65,0,0,0,0,0,0,0,1.39,0
 72-82,0,0,0,0,1.31,0,0,0.6,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.37,0,0,0,0.76,0,0,0,0,16.6,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4.25,0,0,0,0,0,0,0,5.43,4.37,0,0,0,0,0,0,0,0,0.68
108-118,0,0,0.46,0,2,0,0,1.88,0,0,0,0,1.43,8.28,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,9.76,0,3.7,0,8.14,0,0,0,0,0,0,0,0,0
