stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,glial,gut,ionocyte,iridophores,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,1.62,0,0,0,0
 24-34,0,0.97,1.31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9.67,0,0,0,2.86,0
 36-46,0,0,0,0,0,0,0,0,0,4.53,0,0,1.11,0,0,0,0,3.38,0,0,0,0.57,0
 48-58,0,0.67,0,0,1.59,0.79,0,0,5.18,0.78,0,2.57,1.34,0,0,0.99,0,1.67,0,0,0,0,0
 60-70,0,0.62,0,0,0,0,0,0,0,3.17,0,0,4.07,0,0,0,0,2.6,0,1.47,0,0,0
 72-82,0,2.16,0,0,2.48,0,0,0,0,5.77,0,0,2.89,0,0,0,0,1.45,0,0,0.75,0,0
 84-94,0,0.66,0,2.33,0,1.31,0,0,0,20.13,0,0,3.11,0,0,0.58,0,1.02,0,0,0,1.5,0
 96-106,0,5.01,0,2.81,1.68,6.64,0,1.73,0,16.45,3.18,0,18.77,0,0,3.89,0,3.81,0,0,0,5.44,2.54
108-118,0,1.21,0.6,34.97,7.38,1.53,3.81,0,0,57.49,0.43,0,9.47,0,0.51,1.19,0,0.42,0,0,0,0,0
120,0,3.64,0,6.61,0,0,0,0,0,39.51,0,0,2.34,2.28,0,0,2.5,2.35,0,0,0,0,0
