stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,140.09,1166.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.57,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,823.97,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0
  7-9,10.26,0,0,5.08,0,0,3.95,0,0,0,0,0,28.52,0,0,0,0,0,0,0,0,0,0,71.04,0,0,0,23.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,34.23,0,0,0,0,0,0,0,0,0,0,159.61,26.12,0,0,16.15,0,0,0,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,17.29,1.5,0,0,0,0,0,0,0,0,2.27,0.9,0,0,0,0.92,0,0,0.85,9.61,0,0,0,0,0,6.46,0.9,1.23,0,0.94,1.77,0,0,1,0,0
 24-34,0,0,0,2.58,31.25,0.62,4.61,0.68,4.47,0.69,0,0,0.67,2.84,1.78,7.97,0,0.78,0,12.27,0,0,2.85,34.59,0.67,1.55,0,0,0,17.13,0,0,1.49,1.45,6.26,0,0,11.19,0,0
 36-46,0,0,0,0,5.66,0,7.13,0,4.85,0,0,0,0,0.63,2.96,6.06,0,0.99,0,4.55,0,0,0,22.48,0,0.91,0,0,0,15.55,0.81,0,6.47,0,3.57,0,0,1.06,0,0
 48-58,0,0,0,0,27,0,6.11,0,6.56,0.97,0.8,0,0,0,1.86,0,0,0,0.48,4.32,0.4,0.54,0.91,22.29,0,0,3.57,0,0,5.79,0,0,0,0,10.06,0,0,1.98,0,0
 60-70,0,0,0,0,21.54,0,9.51,0,7.32,0,0.72,0,0,0,1.65,0,0,0,0,11.2,0,0,0,33.24,0,0,0,0,0,4.8,0,0,0,0,2.79,0,0,6.67,0,0
 72-82,0,0,0,0,18.38,0.59,10.97,0,4.42,0,4.42,1.46,0,0,8.04,1.24,0,0,0,26.69,1.8,0,0,91.05,0,0,2.05,0,1.97,7.87,0,0,3.55,0,13.72,0,0.87,8.69,0,0
 84-94,0,0,0,0,10.8,1.41,15.66,0,2.06,1.3,3.41,0.58,0,0,3.76,1.74,0,0,3.32,4.49,0,0,0.71,18.97,0,0,0.59,0,0,1.17,0,0,0,0,4.96,0,0,0.59,0,0
 96-106,0,0,0,0,19.48,2.58,1.75,0,2.67,0,6.43,1.44,0,0,12.08,1.66,1.94,0.78,0,35.98,0,1.88,0,83.85,0,6.94,3.87,0,1.17,13.69,0,0,0.69,0,2.49,0.7,6.63,11.48,0.92,0
108-118,0,0,0.58,0,10.64,1.09,5.79,0,2.89,0,1,1.54,0,0,8.41,3.73,0.49,0.43,0,11.23,0,0,0,26.38,0,0,1.13,0,0.89,1.02,0,0,0,0,6.14,0,1,3.5,1.66,0
120,0,0,0,0,1.27,0,0,0,4.19,0,7.55,0,0,4.12,2.72,0,0,0,0,9.34,0,0,0,49.56,0,0,2.28,0,0,3.87,0,0,0,0,0,0,0,0,1.05,8.94
