stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,4.69,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.53,1.84,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,68.59,0,0,119.44,17.58,147.22,0,0,0,0,5.39,1.1,0,0,6.89,0,0,0,0,0,0
 24-34,0,0,0,3.82,0,0,14.54,0,0,13,1.05,0,0,40.63,0,0,0,0.65,4.76,0,1235.39,0,0.82,902.41,165.52,35.82,1.36,0,0,0,1.41,0,5.66,0,21.4,13.38,0,0,1.48,0,0
 36-46,0,0,0,2.91,0,0,9.68,0,4.2,91.83,6.1,0,0,77.76,9.08,0,0,1.57,0,0,3185.78,0,25.55,891.01,224.93,1.26,4.35,0,0,8.6,4.36,1.39,13.46,4.15,2.63,11.17,0,0,4.75,0,0
 48-58,0,0,0,9.09,2.2,0,73.93,0,1.68,140.01,13.33,0,0,21.9,4.47,0,4.49,0,2.36,0,3764.92,2.78,80.49,677.83,328.69,0.41,0.81,0.94,3.66,14.89,15.73,0,2.17,0,0,26.99,0,9.66,2.84,0.9,9.37
 60-70,2.42,0,0,10.45,4.24,0,64.11,0.64,9.57,151.73,22.75,0,1.21,43.19,0,0,0,1.07,3.93,12.95,5734.84,8.17,303.05,517.54,354,0,2.31,2.95,0,5.98,15.22,0,0.83,1.42,0,17.44,0,129.42,6.88,282.83,3.6
 72-82,0,0,0,39.45,1.76,0,280.82,5.6,21.03,168.77,28.27,2.82,0,22.22,0.71,0.7,1.45,0,2.96,0,8154.42,0,523.62,469.76,388.98,0,14.15,11.4,0,37.52,18.75,0,0,0.54,0,8.62,0,288.34,20.01,881.09,18.88
 84-94,0,0,0,29.35,6.12,0.7,456.31,3.14,15.24,177.06,38.43,0,0,23.12,3.57,1.95,0,2.64,26.97,0,6784.14,3.01,556.95,355.18,217.18,0.89,1.05,5.68,0,8.3,4.94,0,5.35,0,0,25.41,0,307.9,23.59,1192.6,0.64
 96-106,0,0,0,50.91,16.73,0.94,311.95,6.32,10.49,58.9,42.7,8.34,0,23.76,6.51,0.57,7.2,3.42,57.95,0.63,5713.29,3.18,512.96,187.91,418.59,0,0.89,0.98,0,70.74,14.71,0,7.12,0.72,0,9.53,0,221.38,42.24,1337.75,26.33
108-118,0,0,0,41.19,17.9,1.34,174.54,0,8.58,73.37,22.99,4,0,17.25,3.74,6.08,4.85,2.21,45.68,0,6862.04,2.27,449.59,187.76,437.17,2.26,0,1.27,0,107.45,4.55,0,1.86,1.76,0,1.02,2.01,170.51,40.2,1208.53,0
120,0,0,0,42.89,4.31,0,119.45,0,18.18,66.19,25.52,7.58,0,14.76,2.27,1.45,0,0,69.31,0,5708.69,3.12,653.89,120.12,513,2.33,0,0,0,95.12,1.62,0,0,0,0,0,4.63,171.17,71.34,2435.66,0
