stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,246.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,238.31,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.17,0,0,10.04,7.14,0,0,0,0,0,0,0,0
  7-9,31.86,0,0,13.95,0,0,37.92,0,0,0,11.42,0,0,0,0,0,0,0,0,229.74,0,0,133.18,0,0,0,0,0,0,0,0,0
 10-12,0,4.02,0,15.13,0,4.67,3.13,0,0,0,15.17,0,0,0,0,0,0,0,0,227.51,18.96,0,62.62,0,0,0,15.22,0,0,0,0,0
 14-21,0,0,0,0,5.97,2.85,2.09,0,0,1.98,0,0,0,0.97,0,0,4.9,0,0.84,19.7,0,1.23,1,0,1.53,2.97,0.89,3.97,3.29,0,0,5.96
 24-34,0,0,0.67,0,1.6,0,0.67,2.72,0,0,0,0.6,0,0.68,0,0,0.6,0,1.33,70.9,0,1.09,0,3.08,0,0,0,0,1.72,0,0,0
 36-46,0,0,0,0,3.63,0,0.8,0,0,0,0,0,0,0,0,0,1.66,1.35,0,565.38,0,0,0,4.06,0,0,0,0,1.58,0,3.15,0
 48-58,0,0,0,0,3.38,0,1.46,0,0.41,1.04,0,0,0,0,0,0,0,0,0,177.91,0,0,0,2.46,0,0,4.97,0,0.74,0,0,0
 60-70,0,0,0,0,5.31,0,2.16,0,0,0,1.33,0,1.16,0,0,0,0,0,0,50.86,0,1.4,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.71,0,0.84,0,0,0.77,0,0,0,0,0,3.49,1.59,0,0,11.14,0,0,0,0,0,0,0,0,1.41,0,0,0
 84-94,0,0,0,0,5.16,0,2.57,0,0,0,0,0,0,2.04,0,0,0,0,0,125.82,0,0,0,2.92,0,0,0,0,4.34,0,0.92,0
 96-106,0,0,0,0,4.07,0,1.5,0,0,0,0,0,0,2.12,0.74,11.38,1,0,0,70.41,0,0,0,7.47,0,0,0,0,0,1.77,1.14,0
108-118,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0.68,0,0,0.76,0,0,52.43,0,0,0,7.21,0,0,0,0,0,0,0,0
120,0,0,0,0,10.4,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,29.25,0,0,0,1.22,0,0,0,0,0,0,0,0
