stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,88.96,0,0
  5-6,32.69,0,0,0,0,0,0,0,0,0,135.64,0,0
  7-9,0,0,0,0,0,0,5.51,0,0,0,24.52,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.27,0,0,0
 14-21,0,0,0,0,0,0,5.82,0,0,0,0,0.97,0
 24-34,0,0,0,1.27,0,2.85,2.85,1.55,1.55,0,0,0.66,0.69
 36-46,0,0,0,1.48,0,0.77,7.4,0,0,0,0,6.28,0
 48-58,0,0,0,0,0,1.25,5.53,0,0,0,0,2.61,0
 60-70,0,0.79,0,0.87,0,0,7.64,0,0,0,0,0,0
 72-82,0,0,0,1.39,1.03,0.84,3.56,0,0,0,0,0,0
 84-94,0,0.69,6.25,7.52,0,0,2.73,0.95,0,0,0,6.99,1.94
 96-106,0,0,0,0,0.96,0,0.61,0,0,0,0,0,3.64
108-118,0,1.55,0,0,0,2.64,5.6,0,0,0,0,0,0
120,0,0,0,7.48,2.82,0,6.13,0,0,0,0,0,0
