stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,47.82,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.33,297.41,0,0,0,0,0,0,0,0,0,0,0,21.86,0,0,0,0,0,0,0,0,0,0,0,14.58,0,0,0,16.59,0,0,0,0,0,0,0,0,0,0
  7-9,11.22,4.2,0,15.68,0,0,0,12.93,0,0,0,0,0,29.64,0,0,0,0,0,0,0,0,0,0,0,234.79,4.46,0,0,40.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.47,0,0,0,16.33,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,58.68,0,0,0,34.77,0,0,26.46,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,1,0,0,0,9.78,0,0.85,1.05,0,0,3.31,6.15,0,2.45,1.01,0,0,0,0
 24-34,0,0,1.05,0.6,1.44,0.79,0,0.62,0,0,0.63,0,1.44,0,0,0,0.66,0,1.73,4.37,0,0.72,0,0,0.69,4.74,0,0.99,0.88,0,0,0,20.73,1.54,0,1.04,0,0,0,0
 36-46,0,0,0,0.96,0,0,0,0,0,0.69,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0.66,0,0,0,0,8.04,0,0,1.74,0,0,0,0
 48-58,0,0,0,0,0.63,0,0,8.93,0,0,0,0,29.37,0,1.49,0,0,0,0,5.44,0,1.28,0,0,0.66,15.57,0,0.78,0,0,0,0,7.37,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,13.75,0,0,0,0,74.44,0,2.89,0,0,0,0,11.76,0,2.71,0,0,0,7.58,0,0.98,0,0,0,0,24.08,0,0,0,0,0,0,0
 72-82,0,0,11.21,0,0.87,0,0,14.57,0,0,0,1.36,148.69,0,3.05,0,0,0,0,8.3,0,8.88,0,0,0.8,24.65,0,2.12,0,0,1.54,0,105.65,0,0,2.21,0,0,0,9.66
 84-94,0,0,8.66,0,1.89,0,0,27.4,0,0,0,0,363.63,0,16.66,0,0,0,0,4.98,0,1.77,0,0,0,25.44,0,1.28,0,0,5.86,0,267.11,0,0,0,0,0,0,0
 96-106,0,0,7.12,0,11.53,4.37,0,63.55,4.65,2.43,0,2.37,678.98,0,8.57,0,0,0,0,13.35,7.92,6.67,0,0,2.86,120.4,0,0,1.16,0,9.53,0,339.62,0,0,0.67,0,7.07,5.8,0
108-118,0,0,5.27,0,1.28,1.09,1.26,19.3,0,0,3.21,6.91,912.12,0,1.95,0,0.6,1.3,0,16.73,0,12.26,8.72,2.05,0,78.74,0,0,0,0,2.79,0,305.93,0,0,0,2.7,0,2.81,0.51
120,0,0,0,0,15.77,0,0,44.95,0,0,0,40.47,873.57,0,1.61,3.3,1.4,0,0,93.48,0,15.87,0,0,1.41,157.14,0,0,0,0,1.24,0,155.14,0,0,0,2.06,0,0,0
