stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,6.57,0,4.5,0,0,0,0,0,0
 10-12,0,0,4.65,0,0,0,0,0,0,25.59,0,21.07,0,0,0,0,0,0
 14-21,0,0,0,1.74,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0
 24-34,0,0.76,0,2.42,0,0,0,0,0.64,0,0,0,0,0,2.27,1.32,0,3.95
 36-46,0,0,0,0,0,0,1.66,1.28,1.36,0,0,0,0,2.1,0,0,0,0.8
 48-58,0,0,0,0,0,0,0,0,2.1,0.82,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.48,0,0,3.62,0,0,0,0,0,0,2.74,0
 72-82,1.19,0,0,0,0,0,4.02,0,0,0.59,0,0,0,0,0,0,8.59,0
 84-94,0,0,0,0,0,0,2.8,1.67,1.03,0,0,0,0,0,0,0,80.14,0
 96-106,0,0,0,0,2.21,0,24.47,0,0,1.22,0.81,0,0,0,0,0,113.15,3.21
108-118,0.53,0,0,0,0,0.43,60.15,0,0.95,4.52,0,0,1.77,0,0,0,164.03,0.51
120,3.12,0,0,0,0,0,39.97,0,0,1.36,0,0,0,0,0,0,42.85,0
