stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7.96,18.78,0,6.41,0,0,0,0,0,0,0,0,0,0,0,2.57,0,2.74,149.31,0.84,10.98,0,0.84,0,245.08,0,0,23.53,0,0
 24-34,0,3.5,0,0,5.01,0,0,0.96,0,0,0,0,0,0,5.19,0,2.45,0,1.68,595.78,0,9.04,0,0,0.67,158.39,0,0,15.99,0,0
 36-46,0,11.24,0,0,30.73,0,0.67,0.81,0,0,0,0,0,0,0,0.7,11.29,0,1.98,1494.46,2.98,1.54,0,0,0,231.23,0,0,1.43,0,0
 48-58,0,5.13,0.68,0,336.03,0,0,14.35,0,0.63,0,0.46,0,0,0,0,8.71,0,1.45,1744.75,0.47,11.62,0,0,0,164.84,0,0,0.39,0,0
 60-70,0,8.48,0,0,1065.01,1.4,0,2.93,0,0,0.65,0,0,4.85,0,0,16.69,0,0,1481.22,0,22.06,0,0,0,44.75,0,0,0.79,0,0
 72-82,0,3.11,0,0,657.08,0,2.31,35.94,0,0.89,4.07,0,4.27,7.8,0,0,21.08,0,0,1105.8,0.83,44.42,0.66,0,0,35.99,6.2,0,2.72,0,0
 84-94,0,9.81,0,0,687.52,0.96,0,14.24,0,0,0,0,0,7.51,0,0,13.64,0,1.6,788.55,0,27.04,0.76,0,0,16.31,21.99,2.23,4.95,2.03,0
 96-106,0,19.16,3.82,0,368.16,0,0,3.28,1.83,0,1.27,0.85,0.76,12.99,15.75,0,6.82,0,0.77,502.77,0,61.5,1.44,0,0,0.73,94.15,0,0.68,0.63,0
108-118,0,14.5,1.19,0,216.49,0,0,9.16,0,0,0.43,0,0,9.95,0.97,0,5.07,4.11,0,600.13,0,47.74,4.75,0,0,27.57,96.05,0,0,0,9.69
120,0,0,0,2.42,183.02,0,0,5.41,0,0,0,0,0,3.31,0,0,16.69,0,1.03,508.3,0,112.84,0,0,0,0,32.46,0,6.32,0,0
