stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,xanthophores
  7-9,0,4.33,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,1.23,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.82,0,0,19.06,0,0
 36-46,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,83.21,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.69,0.47,0,65.07,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,36.59,0,0.97
 72-82,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,18.66,0,0
 84-94,3.4,0,0,0,0,0,0.6,0,1.31,0.86,0,0,0,0,64.09,0,0
 96-106,3.7,0.64,0,0,0,0,0.63,0,5.78,1.78,0.66,0.65,0,0,46.66,0,0
108-118,10.86,0,1.07,0,0.98,0.75,0.59,0,1.06,0,0,1.73,0,0,51.24,0,0
120,2.12,0,4.4,8.94,0,0,0,0,0,0,0,4.05,0,0,43.89,0,0
