stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,0,0,0,0,0,0,0,0,0,0,62.41,0,0,0,0
  5-6,15.09,83.94,0,0,0,0,0,0,18.06,0,9.5,160.34,0,0,0,0
  7-9,0,9.75,31.38,0,0,9.6,0,0,1138.17,13.68,806.04,84.19,0,12.83,0,0
 10-12,0,44.96,27.52,0,12.48,9.39,0,0,1840.97,5.2,809.06,21.29,0,8.87,0,75.45
 14-21,0,0,0,1.08,0,0,1.92,1.45,10.12,0,2.3,0,1.64,0,3.72,8.15
 24-34,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0
