stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,288.31,7209.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.18,0,0,0,0,0,0,0,0
  5-6,338.26,5945.95,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,69.45,34.03,0,0,9.41,33.83,0,0,0,0,0,0,0,0
  7-9,71.64,52.68,0,111.93,0,0,211.8,0,0,0,0,0,44.52,0,0,0,0,0,0,0,0,0,1998.49,21.74,0,0,477.64,4.5,0,0,0,0,0,0,0,0
 10-12,0,16.81,0,0,0,7.16,86.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638.27,0,0,0,132.71,0,5.47,0,3.54,0,0,0,0,0
 14-21,0,0,0,4.42,38.86,0,22.03,0,0,0,7.37,0.82,0,0,0,3.65,0,0,0,17.31,0,11.42,295.25,2.76,8.32,2.86,9.08,10.85,1.23,25.49,4.88,0.81,45.91,107.65,0,1.82
 24-34,0,0,0,0,4.98,0,18.77,0,0,0,3.09,0.66,0,0.68,0,2.29,0.7,0,0,8.02,0,2.67,155.18,0,3.39,3.78,0,4.49,0,0,0.81,0,0,26.63,0,7.11
 36-46,0,0,0,0,4.11,0,20.38,0,5.48,0,4.97,0,0,0,0,0,0,0,0,11.44,1.76,2.91,59.21,0,3.39,1.59,0,10.39,0,0,4.81,0,0,21.11,0,0
 48-58,0,0,0,0,6.92,0,7.97,0,0,0,3.51,0,0.98,0,0,0,0,0,0,11.2,0,0,25.28,0,2.82,1.57,0,2.34,0,0,0,0,0,2.07,0,0.79
 60-70,0,0,0,0,0.73,0,7.29,0,0,0.62,5.09,3.09,0,0.71,0,0,0,0,0,6.42,0,2.85,19.95,0,3.04,0.69,0,10.28,0,0,0,0,0,2.27,0,0
 72-82,0,0,0.87,0,3.56,1.26,0.71,0,1.29,0,2.9,0,0,0,0.6,0.74,0,1.06,0,12.21,0,0.77,17.72,0,11.45,0.89,0,2,0,0,0,0,0,1.47,0,2.55
 84-94,0,0,0,0,3.1,0,14.37,0,0.7,0,11.42,0.96,0,0,1.92,0,0,0,0,12.65,0,0,18.4,0,3.81,0,0,14.37,0,0,3.95,0,0,0,0,0
 96-106,0,0,0,0,0.82,10.52,8.15,0,0,0,27.64,0,0,0.68,1.9,0,0,0,0,8.57,0.93,0.85,10.45,0,24.15,3.47,0,6.35,0,0,0,0,0,2.07,1.17,0
108-118,0,0,0.61,0,1.61,0,11.35,0.76,1.01,0.53,15.89,0,0,0,4.5,1.64,0.51,0.47,3.36,20.7,0,0.44,19.03,6.36,6.83,0.98,0,17.64,0,0,0,0,0,0,1.4,0.85
120,0,0,0,0,5.04,0,0,0,5.1,0,3.05,1.88,0,0,0,0,0,0,3.28,17.71,0,0,1.81,0,1.15,2.92,0,9.26,0,0,0,0,0,0,0,0
