stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,heart,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,16.57,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.47,0,0,0,0,0,0,0,0,17.8,0,3.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,10.35,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0.92,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0
 36-46,0,0,0,0,0,0,0,0,2.83,0,0,0,0,4.11,0,0
 48-58,0,0,0,0,1.42,0.93,0,0.44,1.84,0,2.61,0,0,0.53,0,0
 60-70,0,0,0,9.58,6.25,0,0,0.97,4.06,0,1.12,0,0,4.56,15.47,0
 72-82,0,0,0,2.18,3.31,0,2.73,5.69,12.69,0,3.69,0,0,3.46,1.58,0
 84-94,0,0,0.7,3.51,1.01,0,0,0.72,15.08,0,0,0,0,6.99,0,0
 96-106,0,0,0.79,1.71,0.57,0,0,1.41,3.9,0,0,0,0,9.96,0,0
108-118,0,0,3.76,0,0,0,0,3.94,19.41,0,2.05,0,3.72,3.22,0,1.34
120,0,0,0,0,0,0,0,0,18.12,0,0,0,0,6.09,0,0
