stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0.83,0,0,0,0,0,0,0,0,0,0.81,0,0.91,0,0,1.18,0,0,0,0,0,0,0
 24-34,2.2,0,0,0,0,0,0,0,2.08,0,0.81,0,0,0,0,0,0,0,0,0,0,1.7,0
 36-46,0,0,0.92,0,0,0.9,0,0,4.77,2.91,0,0,2.12,0,0.71,3.94,0,0,2.37,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,1.98,0.59,0,0,0.49,0,0.62,0,0,0,17.37,0,0,0,0
 60-70,5.17,0,4.47,0,9.64,1.64,0,0,2.36,4.39,0,0,9.35,0,0.89,5.44,0,0,66.42,0,0,0,0
 72-82,7.43,0,15.26,0,0,4.44,1.78,0,3.47,2.84,1.16,0,7.74,0.83,0.51,4.4,0,0,76.08,0,1.2,0,0.65
 84-94,3.62,0,0,0,0.78,2.18,0,0,2.56,0.59,3.04,0,5.58,0.57,0,11.28,0,1.49,123.87,1.09,0,0,0
 96-106,6.74,3.09,8.14,0,1.31,0,6.2,0.59,3.04,2.08,2.89,3.85,7.89,6.47,0.62,4.93,2.33,3.99,284.17,0,0,0,0
108-118,5.43,0,4.67,0.76,3.47,7.49,0.84,1.32,2.04,8.13,5.12,0,20.09,0.41,0,6.38,0,0,163.75,0,0,0.99,0
120,3.12,14.25,0,0,1.77,0,0,6.22,4.06,27.98,0,0,9.76,0,0,20.56,0,0,140.74,0,0,0,0
