stage,endoderm,erythrocytes,eye,fin_mesenchyme,gut,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,5.43,0,0,0,0,0,0,4.24,5.71,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,4.86,0,0,0
 14-21,0,0,0,0,0,0.88,0,1.51,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.77,0,2.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,12.21,0,0,0,3.1,0,0
 48-58,0,0,0,0,0,0.53,0,18.98,0,0,0,2.28,0,0
 60-70,0,0,0,3.28,0,0,0,9.15,0,2.65,0,0,0,0
 72-82,0,0,3.99,0,1.23,3.53,1.18,29.11,0,0,0,1.21,0,1.14
 84-94,0,0,3.5,1.43,0,0,0,5.62,0,0,0,0,0.88,0
 96-106,0,0,1.66,0,0,2.53,0,4.29,0,0,0,0,0,0
108-118,0,0.7,0.84,0.73,0,2.77,0,23.94,0,0,0,0,0,0
120,0,0,21.24,0,0,0,0,21.37,0,0,0,0,0,0
