stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  5-6,26.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0
 24-34,0,0,0,0,0,0.68,0,0.86,2.84,0,10.69,0,5.5,6.78,0,0,2.61,1.07,0,0,0
 36-46,0,0,1.03,0,0,0,0,0,1.36,0,0,0,1.66,5.73,0,8.91,5.36,0.78,0,0,0
 48-58,0,0,0,0,0,0,0,0.6,1.75,0,0,0,6.24,0.74,0,0,1.22,0,0,0,0
 60-70,0,0,0,2.53,0,0,0,0,4.12,0,1.83,0,0,3.25,3.85,0,0,0,0,0,0
 72-82,0,0.62,0,0,0,0,0,0,7.05,0,0,1.42,5.26,5.57,3.77,0,0,0,0,1.33,0.81
 84-94,0,2.57,0,0,0,0,0,0,6.36,0,1.39,0,3.96,2.22,0,0,0,0,1.46,3.6,0
 96-106,0,0,0,0.62,1.03,9.11,0,0,10.14,0,1.67,1.95,8.59,6.04,0.63,0,0,0,1.63,0,1.43
108-118,0,0.92,0,0,0,17.22,1.19,0,4.83,0.69,0.76,0,1,1.43,0.9,0,1.66,0,0,0,0
120,0,0,0,0,0,3.87,0,0,4.62,0,7.51,0,8.34,2.66,0,0,1.22,0,0,0,0
