stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.32,294.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.15,396.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.45,27.27,0,23.6,0,0,0,88.34,0,0,0,0,0,51.87,0,0,0,0,0,0,0,0,0,0,0,534.92,33.27,0,0,190.3,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.56,0,35.46,0,6.22,0,65.7,0,0,0,0,0,29.41,0,0,0,0,0,0,0,0,0,0,0,811.1,41.37,0,0,577.81,4.24,0,8.79,38.23,0,93.24,0,0,0,0,0,0
 14-21,0,1.36,0,7.75,45.56,11.75,0,13.59,0,0,0,0.94,2.1,6.41,0,0,0,0,0,0,1.13,19.53,0,0,54.66,199.79,2.72,0,2.48,2.81,7.53,0,171.45,1.95,469.21,1842.25,37.41,0,0,0,0,0
 24-34,0,0,1.05,3.64,2.4,0,0,15.1,42.13,0,0.83,0.84,0.71,0,1.36,0,0,0,0,0,0,14.67,0,0,74.75,199.27,0.63,1.32,1.55,0,8.79,0,2.37,5.32,170.65,643.34,40.83,0,0,4.68,0,4.18
 36-46,0,0,0,0,0.57,0,0,16.56,69.55,0,0,5.14,0,0,1.05,3.25,0,1.11,0,0,0,12.72,0,1.12,56.68,96.57,0,0.65,1.08,0,4.49,0.81,1.95,0,122.41,25.47,34.89,0,0,1.47,0,0
 48-58,0,0,0,0,6.62,0,0,45.8,78.31,0,2.22,20.74,0,0,0.51,0,0,0,0.61,0,3.06,31.72,0.46,0,104.84,127.06,0,0,5.08,0,0,0,0,0,105.92,0,30.88,0,0,0.43,0,2.45
 60-70,0,0,0,0,0.8,0,0,31.89,127.67,0,2.7,16.38,1.82,0,0.9,0,0,0,0,0,0,11.97,2.07,1.3,76.15,124.81,9.72,0,0,0.81,7.54,0,0,0.63,78.49,0,8.26,0.77,0.98,0.64,0,18.72
 72-82,0,0,0,0,0,2.51,0,29.34,81.72,0,0,7.18,1.52,0,0,2.36,0,0,0,1.24,0,31.02,0,0.55,68.88,51.54,0,0,0,0,6.29,0,0,0,36.27,0,2.2,0.91,0.85,2.59,0,10.06
 84-94,0,0,0,0,8.35,16.28,0,12.14,88.21,0,1.84,19.84,0.61,0,0,0.61,0,0,0.63,1.64,0,43.41,0,1.94,51.7,48.89,0,3.72,0,0,12.49,0,0,0,69.03,0,13.12,0,0,3.21,1,7.94
 96-106,0,0,1.11,0,4.29,13.27,12.42,60.95,171.21,0,2.1,31.6,0,0,0,1.81,0,1.81,0,11.68,0,56.24,0,1.58,48.52,125.32,0,0,0.57,1.2,6.11,0,0,0,84.19,0,4.8,0,0,0.73,0.83,0
108-118,0,0,0,0.74,3.52,4.54,5.35,30.13,166.75,1.08,2.49,21.79,5.7,0,0,2,0.48,1.41,0,0.7,0,36.59,0,1.83,95.81,77.87,0,1.44,0,0,1.58,0,0,0,60.52,0,2.4,1.89,0,2.35,0,0.48
120,0,0,0,0,11.4,8.57,5.29,65.48,123.44,0,0,34.14,0,0,0,1.34,0,2.22,0,0,0,41.28,0,0,158.86,74.63,0,7.9,3.16,0,6.35,0,2.24,0,18.58,0,7.58,0,0,4.89,6.75,1.1
