stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,227.52,4762.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.24,0,0,0,0,0,0
  5-6,172.6,2582.41,0,0,0,0,0,0,0,0,0,0,0,0,0,40.98,0,0,0,8.76,0,8.83,0,0,0,0,0,0
  7-9,4.22,5.95,5.1,0,0,0,0,0,0,0,0,0,0,0,0,363.39,3.62,0,0,82.52,0,0,19.56,0,0,0,0,0
 10-12,0,0,6.82,0,0,8.51,0,0,0,0,0,0,0,0,0,35.52,0,0,0,19.54,0,0,6.41,0,0,0,0,0
 14-21,0,0,0,0.84,0.94,108.79,0,2.22,0,0,2.58,77.07,1.51,0,7.19,24.31,1.05,0,0,0,0,0,0,0.82,0,12,0,206.99
 24-34,0,0,0,0.77,0,172.04,0,1.08,0,0,18.52,110.74,35.29,0,25.68,57.8,0,0,0,0,2.91,3.26,0,0,5.32,7.23,0.97,714.97
 36-46,0,0,0,0,0,59.01,0,2.57,0,0,59.45,10.8,16.39,0,9.28,26.28,0,0,1.94,0,0,0,0,0,0.6,6.46,0,996.81
 48-58,0,0,0,0,0,47.87,0,1.5,0,1.05,4.83,0,12.43,0,6.07,19.82,0,0,0,0,0,0.38,0,0,0,1.74,0,1213.16
 60-70,0,0,0,0,6.64,56.47,0,0,0,0,0.81,0,11.41,0,0,23.82,0,0,0,0,0,0,0,0,0,1.49,0,1012.52
 72-82,0,0,0,0,0.49,25.66,0,4.24,0,0,10.02,0,1.16,0,0.57,8.94,0,0,0,0,0,0.9,0,0,0,0,0,679.79
 84-94,0,0,0,0,0,41.95,0,0.65,0,0,11.9,0,2.75,1.07,0,2.28,0,0,0,0,0,0,0,0,0,0,0,457.62
 96-106,0,0,0,0,6.01,32.44,0.69,1.9,0,2.14,0,0.65,0,0,0,14.46,0,0,0,0,0,0,0,0,0,0,2.19,464.82
108-118,0,0,0,0,2.09,23.4,0,4.63,0.49,0,0,0,1.06,0,2.38,14.27,0,6.48,0,0,0,2.2,0,0,0,4.45,0,526.53
120,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.16
