stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,118.77,1.03,0,200.14,0,0,0,0,0,0,0,0,0,0,0,157.34,18.02,1.1,0,72.83,1740.85,0,0,0,13.75,0,0,25.36,0,0,191.79,64.95,0,0,0,0,458.86
 24-34,0,51.72,0,0,36.31,0,0.62,2.2,5.13,0,2.93,0.8,0,0.86,0,0,127.63,206.24,0,0,220.86,4880.78,8.3,3.95,0.67,0,0,4.33,0.71,0,0,17.72,328.45,0,0,5.07,0,1057.23
 36-46,0,15.68,0,0,62.11,0,2.76,0,243.63,0,0,6.44,0,0,0,0,0,288.68,0,0,102.87,4728.97,0.87,0.79,2.12,0,0,11.65,0,0.75,0,0,436.06,0,0,5.17,0,1171.81
 48-58,0,15.02,5.21,0,99.57,0,5.98,0.38,328.7,0,1.62,1.16,0.4,8.3,0,0,3.84,280.57,0,0,59.83,3829.09,4.09,3.04,0.97,0,0,5.59,0,0.49,0,0,444.07,0,0,0,0,1272.89
 60-70,0,3.01,4.92,0,98.48,0,0,0,334.93,0,0,0,0,0,0,0,0,242.16,0.85,0.66,59.19,3697.45,0,2.22,0.82,0,0,0,0,0,0,0,117.4,0,4.5,1.65,0,1315.71
 72-82,0,15.68,54.55,0,216.45,5.11,0,6.13,248.08,0,1.72,0,0,4.75,0,0,0,264.12,0,0,60.83,2781.83,0,0.81,1.46,0,2.45,6.85,0,0,0,0,23,0,0,6.76,3.46,1313.57
 84-94,0,17.24,33.74,0,244.65,0,0,2.53,240.62,0.6,0,0,0,10.01,0,4.97,0,243.14,0,3.44,72.28,2016.78,0.64,2.33,1.76,0,2.02,22.33,0,2.14,0,0,52.56,0,0,0.71,0,1144.7
 96-106,0,16.92,90.6,0.8,176.79,1.68,0,2.22,181.76,0,0,2.44,8.38,1.84,5.86,1.06,0,187.53,0,1.42,67.47,1578.87,0,1.53,0.74,0,0.79,6.9,0,3.02,4.28,0,12.07,0.67,0,5.87,0,1252.27
108-118,0.91,17.73,51.64,0,114.4,0.67,0,1.23,205.37,0,4.21,0,0,1.53,0,6.08,0,230,0,0,59.65,2331.1,0,3.18,2.39,0,0,1.96,0,0,0,0,10.01,0,0.45,3.96,1.5,1865.9
120,0,26.5,16.2,0,244.14,2.11,2.47,6.63,268.49,1.58,0,0,2.21,23.96,0,1.58,0,205.48,0,2.22,108.9,2225.75,3.89,22.67,0,0,0,2.85,0,0,0,0,0,0,0,1.33,0,687.03
