stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,414.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,281.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.06,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,50.18,0,0,0,3.57,0,5.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776.54,0,0,0,8.12,0,0,0,0,12.17,0,0,0,0,0,0,0,0
 14-21,0,1.11,6.54,607.93,0,0,3.65,0,2.21,0,0,14.42,0,0,0,13.37,0,2.99,0,0,6.09,3.36,0,63.46,0,23.45,26.13,0,0,137.19,0.9,1.37,1.75,0,1.11,2.94,0,0,0,0,0
 24-34,0,0,30.35,322.4,0,0,3.54,0,19.18,0,0.7,21.05,0,0,0.6,14.57,0,19.8,4.76,0,33.71,19.81,0.67,109.65,0,125.23,58.96,0,0,326.42,0,0,11.03,0,0,8.97,0,0,0,0,0
 36-46,0,0,10.58,176.52,0,0,11.46,1.77,25.96,0,0.73,38.38,0,0,0,6.15,0,6.72,9.69,4.54,14.04,3.05,0.72,183.42,1.28,66.47,47.43,0,0,445.91,0.81,0,9.91,0,0,5.64,0,0,0,0,0
 48-58,0,0,8.52,199.75,0,0,43.79,0,24.95,0,2.24,76.45,1.47,1.27,0.85,3.86,0,14.18,5.49,0,12.92,8.99,1.56,142.64,0.44,47.59,12.39,0,0,295.78,0,0,4.82,0,0,9.85,0,0,0,0,0.93
 60-70,0,0,2.79,222.48,0.82,0,52.95,0,27.58,1.65,2.29,138.39,0,0,0,8.81,0,18.87,4.54,0,4.82,10.14,1.47,87.52,2.09,26.83,5.28,0,0,189.61,0,0,12.31,0,0,9.73,19.05,0,0,0,0
 72-82,0,16.36,0.56,186.5,0,1.16,73.29,0,10.62,0,5.77,216.64,0,0,0.52,14.44,0,40.85,6.37,0,16.88,10.16,1.67,125.96,0.5,40.49,22.54,0,1.4,125.88,0,0,1.91,0,0,16.9,59.35,0,0,4.58,0
 84-94,0,10.8,3.51,286.2,1.46,0,47.06,0,25.2,0,1.5,349.54,1.64,0,1.66,19.95,9.96,35.36,0,0,8.98,10.27,0,36.2,0,34.61,27.35,0,0,418.28,0,0,12.29,0,0,0,180.78,2.74,2.98,0,0
 96-106,0,11.07,5.06,286.74,7.1,0,71.96,4.47,21.55,0,8.91,468.97,0,0,5,34.01,0,62.65,6.33,0,18.73,30.3,0,155.08,0.57,52.5,29.23,0,0,338.78,0,0,9.46,0.84,0,1.81,299.5,0,0,1.24,0
108-118,0,6.38,12.44,297.62,0,1.12,35.85,0,61.25,4.75,10.95,465.66,0,0,2,33.05,0,27.68,8.17,0,8.95,25.46,0,118.03,0.47,35.43,14.27,0,7.71,497.11,0,0,11.83,0.86,0,3.93,339.72,0,4.42,0,0
120,0,8.83,6,230.87,0,0,43.29,0,27.48,0,0,285.98,0,0,0,18.62,4.85,46.29,5.02,0,11.62,10.99,1.27,129.19,0,43.73,13.63,0,0,232.24,0,0,8.76,0,0,0,106.42,0,0,0,0
