stage,blastomeres,eye,fast.muscle,fin.epithelia,glial,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,27.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.04,0,0,0,0,0,0,0,24.44,4.33,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.89,0,0,0,0,0,0,5.53,0,0
 24-34,0,1.26,0,0,0,0,0.64,0,0,6.12,0,0,0,0,0,3.84,0,0
 36-46,0,9.3,0,0,0,0,0.56,0.92,0.59,19.39,0,0,0.57,0,0,12.47,0,0
 48-58,0,1.42,0,0,1.34,4.56,2,0,0,54.1,0,0,0,0,0,3.16,0,0
 60-70,0,8.01,0,0,2.53,0,5.25,0,0,87.97,0,0,0,0,0,1.82,0,0
 72-82,0,0,1.52,8.97,0,0,21.72,0,0,73.51,0,1.77,0,0,0,14.03,0,3.48
 84-94,0,4.53,0,0,0,0,5.18,0,0,39.37,0,0,0,0,0.94,0,0,0
 96-106,0,3.8,0,0,3.91,0,11.94,0,0,25.06,0,0,0,3.39,0,1.89,2.52,0
108-118,0,3.95,0,0,0,0,11.04,0,0,62.2,0,0,0,0,0,0,0,6.69
120,0,16.29,0,0,0,0,11.35,0,0,76.12,0,0,0,0,0,26.83,0,0
