stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,97.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,134.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.72,19.32,0,22.53,0,0,54.66,0,0,0,0,0,3.55,0,0,0,0,0,0,404.23,20.2,0,0,135.52,0,0,0,0,0,0,0,0
 10-12,0,19.74,0,0,0,0,52.34,0,0,0,0,0,0,0,0,0,0,0,0,450.51,21.28,0,0,126.65,0,0,13.25,0,0,0,0,0
 14-21,0,0,0,0,10.98,1.09,21.25,0,0,0,18.37,0.82,0,0,0,0,2.62,0,0.97,280.43,0.87,0,3.03,3.64,4.08,1.33,0.81,1.61,162.93,0,0,0
 24-34,0,0,0.84,0.67,4.61,0.96,46.46,0,2.52,0,39.5,0,0,0.64,0,0,6.12,0,5.8,850.02,0,7.02,3.85,0,1.31,0,0,1.19,290.9,0,3.66,0
 36-46,0,0,0,0,0.82,0,126.93,0,0.93,0.6,83.57,0,0,0,0,3.46,6.2,0,0,831.5,0,3.41,0.57,0,0.9,0,0,0,318.81,0,0,3.23
 48-58,0,0,0,0,3.34,0,147.02,0,0,0.46,105.28,0,0,0,0,0,4.94,0,3.36,444.54,0,2.57,1.05,0,0,0,0,0,200.41,0,0.53,1.14
 60-70,0,0,0,0,3.33,0,159.35,0,0,0,93.11,0,0,0,0,0,2.91,0,0,273.84,0,3.07,1.38,0,0.75,0,0,0,55.18,0,0,4.78
 72-82,0,0,0,0,4.35,0,114.09,0,0,0,79.59,0,0,0,0.63,0,7.84,0,2.03,177.55,0,6.28,0,0,0,0,0,0,13.69,0,0,0
 84-94,0,0,0,0,0.63,0,101.35,0,1.6,3.96,104.15,0,0,0,0,0,5.15,1.77,1.24,123.87,0,4.29,3.53,0,0,0,0,0,25.99,0,0,0.73
 96-106,0,0,0,0,0,0,70.77,0.87,0,1.21,73.36,0.74,0,0,0,0,5.4,2.17,1.34,153.46,0,1.23,0,0,3.4,0,0,0,14.09,0,0,0.8
108-118,0,0,0,0,2.31,2.45,64.58,0,0,0,58.02,0,0,0,0,0.9,6.15,0,5.5,139.57,0,0.81,0,0,2.34,0,0,0,3.64,0.67,0,0
120,0,0,0,0,2.16,0,18.09,0,0,0,94.81,0,0,0,0,0,16.38,0,1.13,106.04,0,0,2.28,0,1.06,0,0,0,1.81,0,0,0
