stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  5-6,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.82,0,0,0,0,0,0,0,5.44,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.17,0,0,3.89,0
 24-34,0,0,0,0,0,0,0,0,0,0.81,0,0,0.75,0
 36-46,0,0,0,0,0,0,0,0,0,0.79,0,0,2.32,0
 48-58,0,0,1.7,0.41,0.63,0,0,0,0,2.26,0,0,0.9,0.71
 60-70,0,0,6.94,6.84,2.44,3.14,0,0,0,0,0,0,0,0.91
 72-82,0,0,7.92,0.54,0.98,0,0,0,0,0,0,0,0,1.91
 84-94,0,0,3.61,1.07,0,1.16,1.56,0,0,0,0,0,0,1.18
 96-106,0,0.99,3.04,2.2,0,0,0,0,0,0,0,0,0,1.67
108-118,0,5.85,1.82,0,0,0,0,0.88,0,0,0.41,0,0,0
120,0,0,4.73,0,0,0,0,0,6.45,0,0,0,0,1.35
