stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,14.11,107.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.53,55.89,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,104.87,0,0,0,9.5,0,0,0,0,0,0,0
  7-9,4.71,18.18,0,50.2,0,0,0,0,0,0,0,40.87,0,0,0,0,0,0,108.11,11.33,0,0,107.87,0,0,0,0,0,0,0
 10-12,0,0,0,21.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.51,0,0,0,26.45,0,0,18.74,0,0,0,0
 14-21,0,0,0,4.26,1.1,2.16,0.84,0,0,51.7,0,0,0,0,0,0,12.68,3.39,57.62,2.37,0,4.8,0,4.15,12.58,48.53,149,0,0,0
 24-34,0,0,0,0.7,1.35,0,1.2,0,1.62,70.73,0,0,0,0,2.22,1.38,6.5,1.28,42.97,0,1.06,7.94,0,22.21,0,22.81,88.49,0,0,0
 36-46,0,0,0,0,0,0,0.7,0,0,26.63,0,0,0,0,2.53,0,5.68,2.75,51.7,0,6.64,4.34,0,56.02,0,22.74,73.38,0,0,8.57
 48-58,0,0,0,0,1.34,0,2.79,0,0,39.2,0,0,0,0,1.29,6.26,15.18,2.14,57.05,0,9.52,2.69,0,10.4,0,14.74,60.2,0,0,0
 60-70,0,0,0,0,1.29,0,0,0,0,36.03,0,0,0,0,2.91,0,22.58,3.58,34.36,0,5.16,9.66,0,5.98,0,29.7,42.23,0,0,0
 72-82,0,0,3.43,0,0.6,0,6.03,0,3.42,44.64,1.18,0,0,2.79,7.79,0,19.12,0.61,24.82,0,8.93,9.91,0,0,0,3.66,20.72,0,0.57,3.44
 84-94,0,0,0,0.74,0,0,3.83,0.8,3.37,40.34,0,0,0.55,0,3.76,0,33.12,3.5,42.12,0,16.76,21.89,0,7.78,0,5.69,18.08,0,0,0
 96-106,0,0,1.94,0,0.83,0,9.54,0,0,36.82,0,0,0,0,6.92,0,36.21,3.48,18.54,0,20.39,12.55,0,1.37,0,2.52,23.1,0,0,0
108-118,0,0,3.1,1.14,3.7,0,3.85,0,2.95,37.6,0,0,0,0,5.93,1.39,28.55,7.11,28.92,0,24.18,19.61,0,1.49,0,5.6,18.31,0,0,0
120,0,0,0,0,1.16,0,6.14,0,0,6.37,0,0,1.63,0,10.3,0,33.91,0,20.13,0,20.66,37.39,0,0,0,7.87,22.83,6.25,0,0
