stage,epidermis,glial,gut,immune,neural,periderm,spinal.cord
 24-34,0,0,0,0,0,0,0.91
 36-46,0.7,0,0,0,0,7.04,0
 48-58,0,0,0,0,0,0,0.43
 72-82,0,0,0.81,0,2.06,0,0
 84-94,0,0,0.88,0,0,0,0
 96-106,0.88,0,0,0,0,0.72,0
108-118,1.23,2.48,0,0.42,3.31,0.76,0
120,2.09,0,1.02,0,5.01,1.15,0
