stage,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,spinal.cord
 24-34,0,0,0,0,0,9.16,0
 36-46,0,0,0,0,0,2.05,1.44
 48-58,0,1.38,0.44,0.6,0,1.75,0.44
 60-70,0,3.18,0,0,0,20.97,4.3
 72-82,0,3.02,0,5.41,0.61,28.38,3.55
 84-94,0,6.33,0,0,0,12.67,0
 96-106,1.27,0,0,0,0,9.46,0
108-118,0,0,0,0.55,0.83,8.06,1.94
120,0,0,0,0,5.43,29.64,0
