stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  3-4,13.06,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.04,0,0,0
 10-12,0,0,0,0,0,0,0,3.04,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0
 36-46,0,0,0,0,0.61,0,0,0,0,0
 48-58,0,0,0,0,0.6,0,1.38,0,0,0
 60-70,0,0,0,0,0.9,0,10.66,0,0,0
 72-82,0,0,0,0.49,0,0,9.92,0,1.29,0
 84-94,0,0,7.56,0,0,0,3.1,0,0,0
 96-106,0,0,0,0,0,0,2.09,0,0,0
108-118,0,0,0,0,1.54,0,8.76,0,0,0
120,0,2.74,0,0,7.63,0,3.46,0,0,1.95
