stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.67,15.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.2,0,25.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.61,0,0,0,6.25,0,0,0,34.77,0,0,0,0,0,0,0,0
 14-21,0,0,4.46,5.25,84.49,33.71,0,0,0,0,0,0,20.46,0,0,0,0,0,0,0,13.01,0,0,0,36.81,1.76,0,0,8.2,0,0,2.04,6.96,0,0,43.25,0,0,2.85,0,0
 24-34,0,0,0,0,176.71,6.43,0,3.02,0,4.06,0,4.54,5.27,0,0,0,0,0,0,0,3.71,0,0,0,21.37,0,0,0,0,0,0,0,0.66,0,3.65,25.16,0,0,46.19,0,1.2
 36-46,0,0,0,0,51.93,0.57,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0.88,9.5,0,1.21,0,0,0,0,0,0,0,0,6.36,0,0,1.04,0,0.81
 48-58,0,0,0,0,0.63,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0.41,0,0
 60-70,0,0,0,0,0,0,0,3.32,0,0,0,0,564.75,0,0,0,0,0,388.65,0,0.62,0,0,0.6,16.96,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0
 72-82,0,0,133.69,0,5.87,9.03,0,50.49,2.7,0,0,8.06,2252.38,0.93,3.65,0.66,0.49,4.9,114.71,0,108.62,0.61,5.95,1.76,508.16,0.57,6.76,4.9,0,1.67,15.48,0,0,0,0,43.11,5.02,0,4.82,4.65,16.23
 84-94,0,0,9.07,0,7.18,14.63,0,40.47,1.46,1.49,0,6.79,3987.18,0.78,0,0.79,0,1.83,15.59,0,20.8,0,0,3.78,246.31,0,4.44,1.22,0,0,27.84,0,1.09,2.53,0,7.53,0.97,0,0.91,10.35,0
 96-106,0,0,21.85,0,40.24,83.75,2.52,487.33,23.86,3.92,22.01,107.38,10053.98,7.02,13.93,6.74,1.48,4.77,45.01,0.75,166.55,4.86,7.61,22.74,1396.31,0.62,7.21,5.87,0,15.73,146.36,0,0,0,0,28.61,15.39,1.16,25.24,13.88,71.16
108-118,0,0,19.07,0,77.5,67.85,31.55,667.34,2.57,16.37,15.3,130.27,20163.23,3.45,22.68,7.41,26.73,3.67,58.65,9.45,331.99,6.33,19.61,36.18,1179.46,8.14,8.18,9.51,0,19.02,165.36,0,0,0,0,61.84,23.93,4.77,37.38,6.14,63.04
120,0,0,20.01,0,34.82,45.85,14.33,188.18,19.31,0,3.48,36.88,14778.71,0,9.55,0,32.09,2.98,141.56,0,181.81,18.19,4.76,28.88,435.76,16.87,2.2,6.53,0,16.5,16.7,0,0,0,0,46.55,6.52,2.68,6.2,3.36,7.58
