stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,355.59,7352.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.49,0,0,0,0,0,0,0,0,0
  5-6,688.65,11213.17,35.43,0,0,0,0,0,0,0,0,27.71,0,0,0,0,0,0,0,0,0,0,0,265.17,28.47,0,0,127.87,0,190.45,0,0,0,0,0,0,0,0,0
  7-9,255.79,443.18,389.52,0,0,957.71,0,0,0,0,0,426.73,0,0,0,0,0,0,0,0,0,0,0,11373.82,271.06,0,0,3549.53,0,13.25,35.76,0,12.75,0,0,0,0,0,0
 10-12,0,286.08,264.82,0,45.07,609.22,0,0,0,0,0,75.12,0,0,0,0,0,5.32,0,0,0,0,0,7176.78,164.7,0,0,2196.33,0,0,15.72,0,325.79,0,8.83,0,0,0,0
 14-21,0,0,6.74,59.45,13.09,57.89,0,0,0,18.89,1.07,14.21,0,0,4.78,0,0,0,0,47.43,0,0,26.85,864.96,16.33,6.09,5.24,7.99,0,18.34,0,33.6,3.2,32.37,222.7,0,0,0,0
 24-34,0,0,1.18,30.94,8.24,377.53,0,1.85,2.35,24.23,0.97,0,5.04,0.71,3.89,0,1.9,0,0,126.99,1.51,0,43.65,1572.17,3.23,10.95,8.21,0,0.99,27.59,0,0,2.95,3.5,279.55,0,39.29,0,0.69
 36-46,0,0,0,11.2,2,726.05,0,0,0,20.27,0,0,0,0.71,2.5,0,0.8,12,2.61,132.7,0,1.69,26.8,1010,0,3.69,5.96,0,0,12.03,0,1.39,0.56,0,188.04,0,12.43,0,1.45
 48-58,0,0,0,15.04,1.42,556.45,1.21,0,1.54,23.75,6.23,0,1.35,3.6,0,0.85,1.63,2.04,0,101.33,0.57,3.15,17.59,366.36,0.91,3.5,4.69,0,0,6.1,0,0,0,0,48.93,0,13.38,0,12.67
 60-70,0,0,0,10.18,0.62,334.15,0,0,0,40.23,6.51,0,0,2.24,0,1.54,2.87,0.74,3.48,64.3,0,4.7,11.24,204.55,3.09,2.16,0,0,0.66,7.09,0,0,0,0,6.25,0.99,7.46,0,0
 72-82,0,0,0,6.16,6.69,87.07,0,5.77,3.58,19.43,1.12,0,0.5,0.53,0.6,8.88,0,0,0,45.57,1.31,4.94,18.93,120.55,1.67,2.23,5.61,0,0,0.49,0,0,0,0,9.45,0,18.44,0,5.09
 84-94,0,0,0,9.54,2.4,111.65,0,0,6.59,15.56,4.47,0,2.85,4.6,3.89,0.75,0.78,1.49,0,58.75,0,6.12,18.25,131.27,1.67,0,0.74,0,2.58,18.68,0,0,2.25,0,2.07,4.43,2.49,0,7.62
 96-106,0,0,0,7.22,1,58.28,0,0,0,15.72,5.15,0,0,2.74,0,0,4.28,1.76,0.67,26.57,0,10.72,5.07,84.35,0,0.74,0,0,0,2.28,0,0,0,0,3.19,1.17,8.73,0.8,0
108-118,0,0,0,10.78,3.55,57.42,0,0,1.86,17.77,2.01,0,0,3.66,0.81,0.44,0,0,0,21.27,0,0,12.85,118.05,0.47,0,0.74,0,0,7.18,0,0,0.43,0,0.44,0.8,2.79,0,0
120,0,0,0,14.31,8.61,72.16,0,0,0,25.79,0,0,1.15,12.26,0,1.74,0,0,0,49.37,0,21.52,7.33,130.86,0,0,0,0,0,2.85,0,0,0,0,0,0,3.25,0,0
