stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.93,0,8.72,0,0,0
 14-21,0,0,0,0,0,0,0.82,0,0,0,0,1,0,2.55,0
 24-34,0.63,0,0,3.84,0,0,0.69,0,0,6.19,0,0,0,4.02,0
 36-46,0,0,0,0,0,0,0.59,0,0,19.65,0,0,0.66,4.82,0
 48-58,0,1.85,0.79,0,0,0,13.05,0,0.57,18.87,0,0,0,4.62,0
 60-70,0,0,8.81,0,3.34,0,9.54,0,0,32.29,1.03,0,0.83,4.94,0
 72-82,0,0,9.83,0,0.72,0,7.97,0,0,35.65,0,0,0,4.47,0
 84-94,0,0,11.49,0,0.68,1.57,1.39,0,0,15.03,0,0,0.7,4.16,0
 96-106,0,0,0,0,0,0,2.54,0.93,0,37.39,0,0,0,0,0
108-118,0.67,0,10.94,0,0.89,0,2.33,0,0,20.36,0,0,0.47,0,1.3
120,0,0,5.94,0,6,0,4.31,0,0,47.27,0,0,0,0,0
