stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,156.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.19,151.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.12,3.71,0,0,7.12,0,0,10.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.28,0,0,0,0,0,14.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.63,7.65,0,0,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,5.4,1.21,0,0.84,0,1.16,0,0,0,0,0,0,0,6.33,0,1.02,0,1.46,17.91,0,0,0,0,0,0,0,1.23,0,0,10.35,0.81,0,0,0,0,0
 24-34,0,0,0,0,3.97,0,0,2.74,0,0,0,0,0,0,0.65,0,0,0.66,0,0,0.93,0,16.62,0.62,0,0,0,0,5.59,0,0,0,0,1.93,0.65,0,0,3.04,0,0
 36-46,0,0,0,0,10.05,0,0,3.64,8.24,0,0,2.49,0,0,0,0,0,0,2.33,5.57,0,0,10.85,0.66,0,0,0,0,17.39,0,0,0,0,0,7.58,0,0,4.96,0,2.3
 48-58,0,0,0,0,5.38,0,0,1.35,0.84,0,1.31,2.53,0,0,0,0,0.4,4.36,0,5.32,0,0,24.06,0,0,0.39,0,0,3.82,0,0,0,0,0,5.82,0,0,0,0,0
 60-70,0,0,0,0,1.73,0.71,0,9.8,0,0,0,27.94,6.25,0,0,0,0,0,0.95,7.04,1.47,0.63,17.18,0,1.43,0,0,0,11.15,0,0,0.97,0,0,1.75,0,1,2.21,0,0
 72-82,0,0,0,0,2.45,3.44,0,9.17,0.74,0,0.54,8.7,0,0,0,0,0,0,0,4.78,0,1.69,3.29,0,0,0,0,1.06,13.97,0,0,0,0,0,2.01,0.82,0,1.89,0,0
 84-94,0,0,1.23,0,2.1,7.19,0,9.1,0,0,0,5,5.01,0,0.65,3.01,1.27,1.53,0,7.93,0,0.59,9.8,0,0,1.5,0,0,22.48,0,0,0,0,0,0,0,0,0,0,1.92
 96-106,0,0,0,0,4.37,6.37,0,4.38,0,0.56,0,3.31,3.01,0,0,1.78,1.9,13.32,1.03,11.13,0.71,0,15.7,0,0,1.29,0,0,22.22,0,0,0.61,0,0,1.07,0,0,0,2.02,0
108-118,0,0,0,0,2.66,16.98,3.43,13.16,0.46,0,0.45,0.51,1.44,1.49,0,0,2.38,0,0.59,9.57,0,0,1.67,0,0,0,0,0,10.83,0,0,0,0,0,0,0.8,0,4.41,0,0
120,0,0,0,0,16.68,0,1.6,13.74,1.61,4.2,0,8.36,7.6,0,0,1.51,0,1.02,0,11.96,0,1.69,20.86,0,0,3.06,0,0,10.38,0,0,0,1.69,0,0,0,0,6.72,0,0
