stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,102.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,12.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.35,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.98,0.83,0,2.23,0,0,0,0,1.91,0.96,0,0,0,0,0,0,0,0,0,1.02,146.4,3.19,0.98,1.2,0,0,0,0,0,4.58,92.39,0,0,1.96,0,0
 24-34,0,2.01,2.13,1.6,0,0,9.17,0,0,0.8,1.77,0,0,0,0,0,0,1.3,0,8.46,0,0,15.34,845.93,0,23.13,0,0,0,2.63,0,0.66,0.74,301.18,0,0,24.54,0,1.49
 36-46,0,0,0,7.21,0,0,75.03,2.44,0,3.83,27.18,0,1.26,0.56,0,0,0,1.14,17.15,14.27,0,0,5.9,2243.07,3.44,33.86,0,0,0,2.68,0.72,0,0,496.25,0,0,36.24,0,2.09
 48-58,0,0.42,0,15.55,0.44,0,319.39,2.63,0.38,0.43,65.38,0,1.07,0.68,5.29,2.34,0.45,9.61,11.65,25.04,0.41,0.53,3.67,3368.61,0,24.61,0.4,0,0,19.45,6.78,0,0,514.3,0,0,13.83,0,3.41
 60-70,0,0.82,0,4.74,2.71,0,675.87,0.79,2.42,0.76,124.15,0.83,2.9,0.72,0,0,0,0,16.86,64.99,0,0.85,1.26,4480.05,0,22.68,1.01,0,0,9.06,0,1.01,0,595.24,1.62,1.22,11.91,0,12.02
 72-82,0,2.24,0,12.88,8.74,0,853.36,0,2.09,7.57,116.92,1.27,3.45,2.33,0.65,0,0.65,0,1.66,72.93,0,1.05,2.36,3840.58,0,22.04,9.39,0,0.84,1.63,0,0,0,271.74,0,1.22,39.56,1.71,25.56
 84-94,0,4.49,0,20.84,1.34,0,764.18,2.25,1.13,8.88,128.59,4.81,0,4.86,0,8.81,0,0.68,15.6,79.98,0,0,5.83,2832.48,0,23.16,9.63,0,0,3.22,0,0.64,0,231.22,0,1.17,52.32,0,5.16
 96-106,0,0.89,0,10.83,18.07,0,555.11,1.81,0,3.42,135.63,1.38,0.95,2.74,0,1.5,0,0,15.79,49.81,7.14,3.48,0,2173.67,0,25.22,9.89,0,0,13.75,0,0,0,72.19,7.65,3.41,52.8,0.96,19.2
108-118,0,0.57,0,22.4,7.32,1.71,542.7,0,0,1.11,149.8,0,1.12,1.08,0.49,0,0,3.98,3.27,61.99,0,0,0.92,2584.74,0,15,20.5,0,0,4.38,2.42,0,0,103.37,1.57,6.18,38.68,3.06,2.01
120,0,0,0,28.32,2.39,0,534.57,0,0,0,145.43,3.68,0,2.69,3.3,1.87,0,0,0,58.84,0,0,7.88,3110.88,0,1.54,45.45,0,5.9,0,3.15,0,0,122.04,1.37,0,38.91,0,0
