stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,82.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0
  5-6,17.34,126.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.71,0,0,0,13.01,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,67.69,0,0,0,0,0.87,0,4.44,0,0,0,0,0,0,0,0,0,77.36,0,0,0,1189.71,1.03,0,1.53,0.97,0,3.9,0,0,0,0,11.29,0,0,0,0,0
 24-34,0,0,51.08,0.68,0,23.43,0,26.35,0.7,4.02,0,0,0.68,0,2.28,0,0,1.3,0,412.49,0,0,6.84,6658.94,0.63,0,0,0,0,20.09,0,0,0.63,0.84,51.11,0,0,0,0,0
 36-46,0,0,18.72,0,0,54.78,0,42.91,0,61.21,0,0,0,0,1.37,0.56,0.64,0,0,552.22,0,0,1.28,10077.74,8.92,7.98,9.66,0,0,19.92,0,0,0,1.46,47.29,0,0,4.89,0,0
 48-58,0,0,26.4,0,0,143.96,0.6,36.93,1.07,50.49,0,0,0.69,5.15,0,30.66,0.76,0,6.69,730.67,0.59,5.57,23.89,8438.71,0,3.88,17.55,0,0,22.49,0.98,0,0,0,62.54,0,0,3.96,0,25.66
 60-70,0,0,7.65,1.83,0,84.12,0,40.27,2.08,54.87,0,2,0,0,0,0,1.76,0,7.12,1148.53,0,0,0,6059.34,0,0.88,19.59,0,0,8.37,0,5.29,0,0,16.72,0,0,0.92,0,22.4
 72-82,0,0,17.89,1.56,0,295,0,11.22,1.77,77.89,3.3,0,0,3.15,0,4.53,6.69,4.72,0,1343.39,0,7.18,3.28,4812.46,2.6,0.91,15.88,0,0,3.73,0,0,0,0,18.41,0,5.56,2.37,1.45,10.29
 84-94,0,0,33.27,0.91,0,265.6,0.68,27.82,0,67.25,2.69,0,0,1,2.23,1.66,2.23,0,4.2,1280.82,1.82,9.23,1.65,3091.09,1.49,1.51,41.56,0,0,8.35,0,0,0,0,4.74,1.66,2.67,7.19,0,15.52
 96-106,0,0,72.56,12.11,3.86,274.75,4.93,11.1,4.88,87.61,2.79,0,0.58,0.65,0,3.63,10.14,3.04,0.65,887,4.61,13.91,6.99,2097.83,0,4.16,27.29,0,1.03,8.18,0,0.61,0,0,5.67,0.83,0.66,0,0,11.91
108-118,0,0,18.31,4.84,0,103.21,0,13.03,0,46.66,2.32,0,0,4.91,1.11,5.05,0.43,1.83,0,1255.87,0,4.53,1.65,3915.14,0,3.74,38.13,0,0.91,4.87,0,0,0,0,0,1.12,0,2.22,0,0.5
120,2.82,0,54.96,6.26,15.5,176.66,0,10.87,0,69.59,0,0,0,0,1.45,0,8.73,0,0,1126.17,0,20.53,0,6193.14,0,26.2,35.58,0,0,3.21,0,0,0,0,20.04,0,0,7.84,0,0
