stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.94,1031.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.32,0,0,0,0,0,0,0,0,0,0
  5-6,56,1882.87,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,139.7,0,0,0,22.92,0,38.7,0,0,0,0,0,0,0,0,0,0
  7-9,33.72,158.13,153.84,0,0,0,327.96,0,0,0,0,0,76.18,0,0,0,0,0,0,0,0,0,0,0,2992.46,75.14,0,0,1022.28,0,5.76,12.23,0,0,0,0,0,0,0,0,0
 10-12,0,47.82,104.2,0,5.46,0,261.06,0,0,0,0,0,9.45,0,0,0,0,0,0,0,0,0,0,0,2354.22,34.24,0,0,1067.37,0,0,6.03,0,143.97,0,0,0,0,0,0,0
 14-21,0,0,17.1,79.15,25.74,0,66.88,0,0,0,28.31,2.91,0,0.81,0,3.44,0,0,0,0,85.11,0,0,56.27,1181.77,10.7,4.33,8.99,39.6,0,15.52,2.36,175.43,0,86.34,305.28,0,0,4.74,0,0
 24-34,0,0,2.17,18.85,3.45,0,210.52,0,0.74,0,27.74,2.18,0,1.49,0,2.82,4.25,0.7,0,0,126.35,0,0.81,47.22,1324.32,1.48,5.36,11.7,0,0,9.68,0,0,2.4,5.51,246.01,0,0,14.07,0,4.08
 36-46,0,0,0.56,12.99,4.05,0,256.05,0,0,0.63,18.09,1.55,0,1.3,0.67,1.48,1.82,0,2.12,0,107.8,0.65,1.63,30.68,641.48,1.27,0.65,10.19,0,0,12.62,0.81,0,0,0,139.67,0,0,16.5,0,0
 48-58,0.58,0,0,14.53,1.86,0,224.19,0,0.46,2.41,33.11,1.4,4.65,0.39,9.74,0,0.39,0.51,0,1.94,92.52,0,6.45,20.14,264.03,16.56,0,7.83,0,0.53,2.48,0,0,0,0,38.94,0,0,3.13,0,2.76
 60-70,0,0,0,25.07,0,0,163.19,0,10.34,1.94,48.71,1.28,0,0,3.02,0,0.61,2.72,0,0,92.36,0,2.17,14.3,241.54,0.58,0.61,2.58,0,0,4.16,0,0,0.58,0,16.45,0,0.67,9.36,0,0
 72-82,0,0,0.56,17.2,4.08,0,72.02,0,0.99,6.31,50.89,2.01,0,3.52,4.88,0.53,1.74,0.97,0,0,116.54,0,3.45,15.08,196.32,0,1.59,3.72,0,0,10.77,0,0,0,0,19.98,0.81,0,13.9,1.66,0
 84-94,0,0,0,16.42,2.97,0.59,80.47,0,1.43,1.43,48.87,1.82,0,2.91,8.7,1.73,2.11,3.97,0.85,0.58,133.59,3.13,17.1,18.48,143.02,0,0,5.06,0,0,27.47,0,0,1.35,0,25.27,3.06,0,6.05,0.82,1.63
 96-106,0,0,0,13,16.27,3.58,79.51,0.89,1.53,5.18,55,5.13,2.64,3.34,11.75,0.59,0,1.14,8.29,0,110.05,1.92,6.54,20.53,142.85,0.68,1.51,8.69,0,0.81,27.15,0,0,0,0,9.6,0,1.15,7.39,2.53,4.02
108-118,0,0,1.06,24.01,11.08,0,124.87,0,5.37,7.61,61.36,2.92,0,0.47,5.76,1.9,4.86,2.11,4.94,0.94,158.35,5.01,5.27,18.56,270.13,4.66,3.94,16.47,0,9.2,26.36,0,0,0,0,9.46,0.58,3.71,14.93,0,16.01
120,0,0,0,43.6,10.26,3.02,121.41,1.78,4.8,6.38,195.67,5.75,0,6.41,8.78,2.26,4.74,2.12,0,1.6,218.72,2.14,16.2,60.49,497.36,0,6.97,11.69,0,0,33.81,0,0,0,0,36.55,0,0,40.47,4.93,14.33
