stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,143.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.64,180.46,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.11,0,7.64,0,0,0,0,0,0,0,75.89,0,29.58,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.88,0,0,0,0,0,0,0,67.35,0,90.16,0,14.56,0,0,0,0,0
 14-21,0,0,0,1.16,0,0,0,0,0,0,0,0,3.01,4.27,0,0,0,1.58,0,1.69,0,0
 24-34,0,0,0,1.63,0,0,0,1.07,0,4.82,0,0.95,6.71,3.77,0,0,0,0,0.78,3.31,0,0
 36-46,0,0,0,1.07,0.8,0,0,0,0,4.5,0,8.14,9.49,0.73,0,0,0,0,0,0.72,0,0
 48-58,0,0,0,0,0.86,0,0.44,0,0,78.47,0,0.68,10.3,0,0,0,0,0,0,1.86,0,0.51
 60-70,0,0,0,0,0.6,0,0,1.56,0,118.57,0.65,0,1.26,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.26,21,0,0,0,1.96,228.82,0,0.63,10.43,0,0,0,0,0,0,0,1.24,0
 84-94,0,0,0,0,6.79,0,0,6.45,0,371.46,0,0,3.96,0,0,2.29,0,0,0,0,0,0
 96-106,0,0,0,1.92,9.59,0,0,3.17,0,227.13,0,0.88,15.17,0,0,0,0,0,0,0,0,0.82
108-118,0,0,0,0.68,9.51,1.56,2.32,1.73,0,237.7,0,0,7.73,0,0,0,0,0,0,0,0,0
120,0,0,0,1.28,0,0,0,0,0,323.93,0,0,42.93,0,0,0,0,0,0,0,0,0
