stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.62,105.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.62,0,0,0,21.07,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.82,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,11.83,0,0,0,0,0,0,0,0.86,4.25,0,0,0,0
 24-34,0,0,0.71,0,1.95,0,1.31,0,0,0,0,0,0,0,0,0,0,0,2.83,0,0,0.81,87.45,0,2.24,0,0,0,0.62,0,0,18.18,0,1.04,0,0
 36-46,0,0,0,0,0,0,6.95,0,0.6,0,0,0,0,0,0,0,0,0,0.81,0,0,0,155.11,0,1.41,0,0,0,0,0,0,43.13,0,0,0,0
 48-58,0,0,0,0,0,0,29.41,0,4.42,3.58,0,0,0,0,3.23,0,0,0,3.37,0,0,0,300.88,5.81,0.8,0,0,0,0,1.55,0,45.92,0,0,0,0
 60-70,0,0,0,0,4.36,0,92.58,0,0,13.89,0,0,0,0,0,0,0,0,18.94,0,0,0,444.88,0,1.95,0,0,1.13,0,1.48,0,82.68,2.56,0,2.04,0
 72-82,0,0,0,0,3.54,0,230.09,0,5.69,24.52,0.76,0,0,0,0,0,0,0,17.87,0,0,0,781.8,0,2.73,0.97,0,0,1.2,0,0,82.33,1.23,1.37,0,10.34
 84-94,0,0,0,0,4.16,1.98,191.93,0,2.61,21.9,0,0.82,0.58,0,2.65,0,0,3.09,19.68,0,3.42,0.59,560.37,0,1.54,1.35,0,0,4.23,0,0,56.35,0,0,0.96,0
 96-106,0,0,0.81,0,4.58,5.55,212.62,0,0.76,79.62,2.84,2.93,2.85,1.23,0,1.42,0,0,28.04,0,0,2.39,627.49,0,4.03,5.33,0,0,4.55,0,0,36.66,0,11.79,1,0
108-118,0,0,0.54,0,4.35,10.58,286.4,2.37,0,72.14,1.1,0,7.73,0,10.62,0.48,0.7,0,43.42,5.36,0,0.79,702.07,0.54,3.75,1.81,0,1.49,5.51,0,0,33.48,0,12.5,0,7.31
120,0,0,0,0,19.78,1.9,293.63,0,13.3,109.72,9.88,0,5.71,0,0,0,3.16,0,30.15,0,0,0,1326.24,0,5,12.35,0,12.2,15.05,0,0,60.55,0,1.84,9.55,2.08
