stage,epidermis,eye,fast.muscle,glial,gut,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,5.35,0,0,2.83,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,14.65,0,0,10.16,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,10.04,0,1.5,9.7,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0
 60-70,0,1.87,0,0,0,8.23,0,0,0,0,0,0,0,0,0,0
 72-82,0,4.95,0,0.49,0,20.31,0,0,0.95,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,104.05,0,0,4.08,0,0,0,0,0,0,0
 96-106,0.99,2.72,0,0,0,185.2,6.08,0,16.44,0.97,0.86,4.06,0,3.37,0,0
108-118,0.44,1.86,0.5,0,0,320.28,2.63,0.93,17.21,0,2.04,4.79,0.44,0,0.44,2.91
120,4.32,0,0,0,1.14,176.63,0,0,30.08,0,0,2.03,0,0,0,0
