stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.95,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.69,0,0,0,0,0,0,0,0.91,0,0,271.34,0,0,0,0,0,0,0
 48-58,0,0,0,22.79,0,0,0,0,0,0,0,0.54,0,0,889.45,0,0,0,0,0.85,0,0
 60-70,0,0,0.81,62.71,0,0,1.45,0,0.65,0,0,0,0.62,0,567.66,0,0,0,0,0,0,6.94
 72-82,0,1,4.32,277.25,0,0.56,9.62,0.64,0,5.83,0,4.58,0,0,487.05,0,0.84,0,0,6.99,0,2.11
 84-94,0,1.05,0,253.76,0,0,5.95,0,0,0,0,3.44,0,0,286.54,0,0,0,0,3.69,2.97,3.81
 96-106,0,2.3,0,292.04,0.63,0,0,0,0,0,0,52.12,4.1,1.55,349.79,0,0,0,0,0,0,3.58
108-118,0,0.51,0,74.98,0,0,2.7,0,0,0,1.34,6.15,0,0,312.06,2.83,0,0,0,0,0,0
120,0,0,1.79,28.31,0,0,0,0,3.58,0,0,1.14,0,0,573.25,0,0,1.07,0,0,0,0
