stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,207.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.89,140.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.73,12.94,0,0,0,0,29.72,0,0,0,0,12.26,0,0,0,0,0,0,0,125.86,5.84,0,0,54.1,0,9.39,0,0,0,0,0,0,0
 10-12,0,8.11,0,14.58,0,0,50.06,0,0,0,0,0,0,0,0,0,0,0,0,276.4,0,0,0,119.45,0,0,0,16.67,0,0,0,0,0
 14-21,0,0,0,0.86,0,4.31,11.02,0,0,2.86,0,0,0,0,0,0,0,3.02,0.9,86.54,0,0,0,0.9,0,0,8.34,0,0.9,21.7,0,0,0
 24-34,0,0,0.75,0,0,0,16.96,0,0.9,1.78,0,0,0,0,0,0,0.8,1.9,0,68.48,0,3.09,0,0,0,0,0,0,0,11.02,0,0,0
 36-46,0,0,0,0,0,0,21.69,0,0,4.6,0,0,0,0,0,0,8.75,1.17,0,87.34,0.85,2.48,0,0,0.83,0,0,0,0,10.04,0,6.77,0
 48-58,0,0,0,0,0,0,34.51,0,1.2,20.37,0,0,0,0,0,0,0.97,1.41,0,63.07,0.65,2.12,0,0,0,0,0,0,0,25.8,0,0,0
 60-70,0,0,1.93,0,0,0,29.08,0,0,20.06,0,0,0,0,0,3.05,0,2.11,0,42.54,0.75,1.48,0,0,0,0,0,0,0,9.49,0.9,0,0
 72-82,0,0,0.56,0,0.8,0,34.95,0.78,0,33.85,0.54,0,0,0,0.72,0,0,7.13,0,68.73,0,1.44,1.56,0,0,0,0,0,0,2.69,0,2.23,0.6
 84-94,0,0,0.81,0,0,0,36.23,0,0,27.69,0,0,0,0,0,0,0,7.79,0,30.47,0,3.75,0,0,0,0,0,0,0,9.28,0,1.81,0.68
 96-106,0,0,0,0,1.23,0,34.13,0.82,0.84,22.51,0,0,2.11,0.66,0,0,0,3.23,0,59.97,0,4.04,0,0,0,0,0,0,0,5.14,0,0.6,0
108-118,0,0,2.02,0,1.01,0,39.13,0,0,46.07,1.46,0,2.41,0,0.73,15.66,1.49,12.7,0,53.66,0,4.21,0,0,0.47,0,0,0,0,0.72,0,0.43,0
120,0,0,0,0,2.48,0,11.74,0,0,52.29,3.22,0,0,0,0,0,0,9.19,0,60.62,0,11.03,2.34,0,0,0,0,0,0,0,0,0,0
