stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.74,796.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.18,0,0,0,0,0,0,0,0,0
  5-6,39.89,272.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.32,5.38,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,0,0.98,0,0,1.2,0,0,0,18.9,0,0,0,0,0
 24-34,0,0,0.6,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,168.42,0,9.17,0,0,2.51,4.79,0,0.62,170.9,0,0,2.93,0,0
 36-46,0,0,1.4,0,0,0,16.52,0,0,0,3.36,0,0,0,0,0,0,0.77,2.64,0.68,0,1.2,818.05,0,3.06,0,0,0,0,0,0,280.31,0,0,0.96,0,11
 48-58,0,0,0,2.98,0,0,141.16,0.93,6.73,2.19,30.66,0,0,0.68,0,0,1.3,0,12.66,0.57,0,6.23,1522.34,0.87,1.71,0,0,8.97,0,0,0,326.69,0,0,3.13,0,2.12
 60-70,0,0,10.41,3.57,0.6,0,345.74,1.02,2.82,0,25.74,0,0.9,0.8,0.58,0,0,2.57,38.14,2.6,0,6.16,2809.56,6.01,10.49,0,0,2.91,0,0,0,680.55,0,0,0,0,14.8
 72-82,0,0,3.42,22.98,1.91,0,426.02,0,1.29,2.89,48.2,4.67,0,5.68,0,0,0,0,53.84,0,0,4.25,3167.05,4.93,6.69,0.69,0,3.24,0,3.15,0,669.41,0,1.47,1.56,1.05,17.37
 84-94,0,0,0,10.24,4.33,0,317.18,0,0,0.77,37.96,3.63,0.88,1.88,0.95,2.58,0,5.31,38.69,0.89,0.63,3.58,1933.28,0,13,1.22,0,5.95,0,0,0,390.98,0.57,0,0,0,2.12
 96-106,0,0,0,12.47,3.75,0,349.48,0,1,0,44.13,0,0,1.04,1.23,0.79,6.69,0,23.23,4.2,1.82,2.14,1733.05,0,14.4,1.89,0,6.42,0,0,0,227.2,0,1.88,0,0,0
108-118,3.95,0,0,10.62,0,0.71,325.47,0,0.42,1.05,61.12,0.43,0,0.64,0,5.15,0,0,35.56,0,0.46,1.67,2056.46,0,11.63,2.6,3.4,0.63,0,0,0,183.04,0,1.42,5.44,0,0
120,0,0,0,10.27,0,0,422.88,0,18.03,0,102.71,0,0,7.29,0,0,0,0,60.67,3.31,0,2.69,4150.44,2.06,31.68,13.55,0,1.79,3.15,0,0,221.19,0,0,5.18,0,0
