stage,blastomeres,endoderm,eye,glial,hatching_gland,iridophores,melanocytes,mesenchyme,neural,periderm,spinal_cord
  3-4,28.17,0,0,0,0,0,0,0,0,0,0
  5-6,29.42,0,0,0,0,0,0,0,0,6.32,0
  7-9,0,3.5,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.88,0,0,0,14.57,0,0
 24-34,0,0,0,0,0,0,0,0,1.6,0,1.43
 36-46,0,0,0,1.48,0,0,0,0,0,0,0
 48-58,0,0,2.08,0,0,0,0,0,0.4,0,0
 72-82,0,0,1.7,0,0,0,0,0,1.15,0,0
 84-94,0,0,0,0,0,0,3.35,0,1.09,0,0
 96-106,0,0,0,0,0,0,0,0,6.13,0,0
108-118,0,0,6.55,0,0,0.65,0,0,1.8,0,0
120,0,0,0,0,0,0,0,4.91,0,0,0
