stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,29.42,247.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0
  5-6,7.01,72.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.01,0,0,0,17.95,0,0,6.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.73,0,0,0,34.57,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.53,2174.41,1.41,0,8.82,24.42,0,0,3.26,3.4,4.12,0,6.78,0,0,0,0,5.25,3.67,0,2.14,59.18,0,6.47,2.69,2.16,0,12.71,0,9.58,2.55,2.95,3.28,0,0,0,0
 24-34,0.88,0,0,2.83,1207.43,0,0,9.5,113.4,0,2.56,4.2,1.78,1.21,5.38,2.61,0,0,0,0.78,2.86,7.91,0,8.41,85.81,1.37,2.84,4.83,0,0,36.81,0,0,4.52,2.96,6.35,0,0,7.57,0
 36-46,0,0,0,1.27,766.86,0,0,13.71,167.06,0,0,4.95,0,1.36,8.29,19.66,0,0,0,1.99,0.82,2.25,0,0,49.22,6.03,4.6,0.57,0,0,34.22,0.81,0,1.38,0,9.09,0,0,1.2,0
 48-58,0,0,0,0,569.2,0,0,15.12,236.09,0,1.56,5.47,0,0.59,0.9,0.61,0,0.87,0.58,2.01,3.5,10.19,0.75,0,75.07,5.08,6.04,0,0,0,22.63,0,0,1.57,0,9.1,0,0,1.27,0
 60-70,0,0,0.65,0,438.61,0,0,8.95,179.36,1.21,0.94,13.55,0,0,4.22,6.98,0,0,14.43,2.79,7.8,20.1,0,0,40.38,6.98,1.55,0.59,0,2.69,38.74,0,0,2.78,0,4.6,0,3.4,3.68,0
 72-82,0,0,4.44,0,411.25,0,0,23.74,183.23,0,5.76,21.36,0.6,0,7.44,4.67,1.24,0,4.08,0,18.44,17.23,3.48,1.29,53.97,0.66,2.5,0,0,0,42.5,0,0,3.04,0,0,3.93,0,2.49,0
 84-94,0.62,0,2.52,0,701.06,0.89,0,9.79,235.29,0,7.76,41.64,0,0,15.19,11.07,0,0.78,0,0,8.12,17.8,0,0.56,55.58,0.91,5.92,0.58,0,0,64.1,0,0,3.85,0,0,13.66,0,0.62,0.62
 96-106,0,0,3.81,0,773.22,1.91,0,30.95,240.39,0,2.44,39.3,0,0.61,23.63,11.22,0.69,3.35,14.34,0,23.65,26.39,13.84,0,74.45,0.73,10.09,1.07,0,0,54.08,0,0,0,0,5.73,12.16,0,2.55,0.69
108-118,0,0,3.5,0,855.49,0.71,4.33,14.15,415.29,2.81,10.94,51.8,0,1.1,25.48,14.01,0,0.43,12.54,0.64,44.43,41.89,1.54,1.35,57.39,1.19,10.24,4.72,0,0,39.42,0,0,1.13,0,0.83,16.07,4.53,2.26,2.18
120,1.12,0,0,0,728.88,0,0,4.9,257.17,0,0,47.45,0,0,34.86,5.3,0,4.79,5,0,15.98,20.2,34.6,0,92.13,2.28,6.51,0,0,2.76,33.19,0,0,0,0,0,3.77,0,10.3,1.45
