stage,axial,blastomeres,endoderm,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm
  3-4,14.84,140.84,0,0,0,0,0,35.2,0
  5-6,10.19,78.88,0,0,0,0,0,0,0
  7-9,0,5.81,3.54,8.27,32.66,3.96,3.88,0,0
 10-12,0,4.94,0,0,20.99,14.94,4.71,0,3.57
