stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.49,233.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.04,425.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.71,63.08,0,0,0,0,94.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1244.5,5.59,0,0,166.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,113.72,0,24.54,0,0,218.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2041.09,27.13,0,0,173.26,0,0,0,58.9,0,0,0,0,0,0
 14-21,0,0,0,0,2.91,0,42.12,0,0,0,22.13,1.79,0,0,0,0,0,13.25,0,2.86,845.84,11.37,0,3.35,0,0,0,4.88,4.25,4.76,226.8,0,0,0,0
 24-34,0,0,0,0.6,3.48,0,201.63,0,0,0.61,36.73,0,0,0,0,0,0,13.5,0,3.16,1513.97,2.06,2.49,2.78,0,0,1.43,0,4.87,0.67,251.98,0,3.01,0,0
 36-46,0,0,0,0,1.77,0,250.8,1.3,0,0,77.43,0,0.89,0,0,0,2.42,1.87,0,7.31,1210.06,0,2.03,0,0,0,3.1,0,0,0,249.45,0,0.56,0,9.36
 48-58,0.39,0,0,0,2.93,0,149.1,0,4.01,4.49,94.34,0,3,0,0,0,0,6.69,0,3.18,418.41,0,0.93,0,0,0.97,7.07,0,0.92,0,119.45,0,0,0,0
 60-70,0,0,0,0,2.64,0,101.55,0,18.67,0,149.12,0,0,0,0,0,0,3.06,0,0,264.42,0,0.6,4.69,0,0,0,0,0,0,38.22,0,0,0,0
 72-82,0,0,0.56,0,1.12,0,52.56,0,0.66,1.2,167.94,0,0,0,0,0,0,14.73,0.78,3.14,137.33,0,4.68,7.66,0,0.84,0,0,0,0,20.5,0.87,0,0,0
 84-94,0,0,0,0,1.62,0,37.47,0,0,1.14,111.97,0,0,0,0,0,0,8.91,0,0,101.66,0,0,0,0,0,0,0,0,0,17.07,0,1.18,0.75,0
 96-106,1.12,0,0,0,2.23,0,26.98,0,0,0,166.11,0,0,0,0,2.84,0,11.91,0,7.55,69.82,0,0.7,6.38,0,0,16.02,0,0.69,0,39.2,0,1.36,0,0
108-118,0,0,3.38,0,2.18,0,73.99,0,0,0,294.3,0.5,0,3.96,2.19,0,2.8,28.84,0.62,0,191.42,0,0.95,5.02,0,0,0,0,0,0,3.6,0,0.53,0,0
120,0,0,0,0,6.35,1.14,102.67,0,0,1.82,983.97,0,0,0,4.98,0,3.99,25.42,0,5.55,511.21,3.31,20.62,25.75,0,0,0,0,0,0,20.31,0,0,0,0
