stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,2.95,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,12.91,1.48,2.02,1.53,0,0,0,0,0,0,10.1,0,0,0,0
 24-34,0,0.71,0,1.47,0.67,6.56,0,0,0,0,0,0.74,0,1.27,0,0,0.7,0,0.89,74.46,0,18.74,2.62,0,0,0,0,0,0.6,36.62,0,0,0,0
 36-46,0,0,0,0.74,0,32.83,1.14,0.61,3.88,0,0,0,0.86,0,0,0,8.67,0,3.36,145.35,0,13.99,2.57,0,0,0,0,0,0,59.17,0,0,0,0
 48-58,0,0,0,3.02,0,22.64,0,0,3.51,0,0,0,5.73,0,0,0,16.04,0,0.54,191.94,0,23.68,7.78,0,0,0,0,0,0,30.31,0,0,0,0
 60-70,0,0,0,1.63,0,284.55,0,5.35,1.53,0,0,0,15.06,0,0,0,33.52,0,6.64,283.53,0,10.02,2.55,0,0,0.6,0,0,0,44.99,0,7.57,0,0
 72-82,0,0,0,8.7,0,784.57,0,1.79,12.44,0.94,0,0,15.62,2.05,0,0,50.09,0,1.68,260.63,0,27.91,11.7,0,0,0,0,0,0,28.24,1.34,0,0.57,0
 84-94,0,0,0,4.95,0,565.17,0,0.94,31.18,0,0,0,30.99,0.89,0,0,31.48,3.37,2.77,188.3,0,25.74,17.09,0,0,6.94,0,0,0,13.55,0.64,9.39,0,0
 96-106,0,3.74,0,13.05,2.24,633.56,0.77,0,9.27,1.59,0.65,0,9.62,0.91,6.8,0,41.89,2.51,11.56,188.03,0,30.51,14.81,0,0,6.09,0,7.97,0,10.46,1.03,1.61,0,3.61
108-118,0,1.22,0,10.35,0,436.7,0.6,3.96,24.36,0,2.72,0,43.91,1.29,0,1.3,49.6,0,5.59,240.22,0,25.66,22.04,0,3.32,0.64,0.54,0,0,7.65,0,0.6,0,1.94
120,0,0,0,7.94,0,388.35,2.07,0,12.35,8.33,0,7.56,89.05,1.34,0,4.02,56.92,0,7.4,296.35,0,29.74,34.01,0,9.21,0,0,0,0,5.57,0,0,0,0
