stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,155.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.89,137.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,22.46,0,0,0,0,42.42,0,0,0,0,0,0,0,0,0,652.56,77.86,0,0,276.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,49.2,0,4.47,0,0,49.08,0,0,0,0,0,0,0,0,0,964.07,51.45,0,0,429.22,0,0,0,94.26,0,0,0,0,0,0,0
 14-21,0,0,0,4.85,23.04,1.38,2.69,0,0,0,0,0,0,12.74,0,0,51.28,0,5.81,33.34,16.78,0.86,0,1.17,22.93,3.01,9.62,306.78,0,0,0,0
 24-34,0,0,0,0,0,0,3.31,0,0,0,0,0,0.78,2.66,0,0.71,117.44,0,41.69,6.53,0,0,0,0,13.54,0,2.19,63.82,0,0,0,0
 36-46,0,0,1.03,0,0,1.13,2.47,0,14.42,0,0,0,0,0,0,1.23,123.08,0,102.8,17.8,0,0,0,0,15.64,0,0,49.86,0,0,0,0
 48-58,0,0,0,0,0,0,18.31,0,16.94,0,0,0,2.42,1.12,0,0.41,107.81,0,66.48,1.53,0,0,0,0,9.72,0,0,36.55,0,0.98,0,0
 60-70,0,0,0,0,0,1.04,3.79,0,30.46,0,0,0,1.37,0,1.53,0,79.06,0,75.05,1.56,0,5.87,0,0,26.41,0,0,51.53,0,0,0,0
 72-82,0,0,0,0,1.45,0,9.17,0,35.49,0,0,0.54,0.79,0,0,0,116.9,0,60.71,6.65,0,0,0,0,6.38,0,0,35.29,0,0,0,0
 84-94,0,0,0,0,0,0,26.4,0,21.65,0,0,1.56,3.14,5.74,0,0,40.79,0,50.34,8.15,0,3.59,1.4,0,10,0,0,21.13,0,0,0,0
 96-106,0,0,0,0,3.75,0,37.68,0,51.65,0.71,0.64,0,1.25,1.02,0,0,38.72,0,80.77,6.12,0,0,0,0,13.76,0,0,44.81,2.04,0,0.64,9.02
108-118,0,0,0,0,0,0,14.11,0.44,49.22,0,0,0,4.08,5.06,0,1.11,69.39,0,76.33,8.75,0,0,0,0,8.32,0,0,11.46,0.43,0,0,0
120,0,0,0,0,0,0,20.29,0,60.13,0,0,0,4.14,6.54,0,0,60.4,0,115.07,4.7,0,0,0,0,10.91,0,0,38.94,0,0,0,0
